forecast_date,target,target_end_date,location,type,quantile,value
2021-07-12,1 wk ahead inc case,2021-07-17,AT,point,NA,1098
2021-07-12,2 wk ahead inc case,2021-07-24,AT,point,NA,1223
2021-07-12,3 wk ahead inc case,2021-07-31,AT,point,NA,1066
2021-07-12,4 wk ahead inc case,2021-08-07,AT,point,NA,1049
2021-07-12,1 wk ahead inc case,2021-07-17,BE,point,NA,2972
2021-07-12,2 wk ahead inc case,2021-07-24,BE,point,NA,3533
2021-07-12,3 wk ahead inc case,2021-07-31,BE,point,NA,4015
2021-07-12,4 wk ahead inc case,2021-08-07,BE,point,NA,4450
2021-07-12,1 wk ahead inc case,2021-07-17,BG,point,NA,321
2021-07-12,2 wk ahead inc case,2021-07-24,BG,point,NA,270
2021-07-12,3 wk ahead inc case,2021-07-31,BG,point,NA,240
2021-07-12,4 wk ahead inc case,2021-08-07,BG,point,NA,206
2021-07-12,1 wk ahead inc case,2021-07-17,CH,point,NA,1042
2021-07-12,2 wk ahead inc case,2021-07-24,CH,point,NA,966
2021-07-12,3 wk ahead inc case,2021-07-31,CH,point,NA,829
2021-07-12,4 wk ahead inc case,2021-08-07,CH,point,NA,731
2021-07-12,1 wk ahead inc case,2021-07-17,CY,point,NA,9370
2021-07-12,2 wk ahead inc case,2021-07-24,CY,point,NA,16789
2021-07-12,3 wk ahead inc case,2021-07-31,CY,point,NA,22019
2021-07-12,4 wk ahead inc case,2021-08-07,CY,point,NA,18458
2021-07-12,1 wk ahead inc case,2021-07-17,CZ,point,NA,1581
2021-07-12,2 wk ahead inc case,2021-07-24,CZ,point,NA,1856
2021-07-12,3 wk ahead inc case,2021-07-31,CZ,point,NA,2009
2021-07-12,4 wk ahead inc case,2021-08-07,CZ,point,NA,2041
2021-07-12,1 wk ahead inc case,2021-07-17,DE,point,NA,4460
2021-07-12,2 wk ahead inc case,2021-07-24,DE,point,NA,4413
2021-07-12,3 wk ahead inc case,2021-07-31,DE,point,NA,4185
2021-07-12,4 wk ahead inc case,2021-08-07,DE,point,NA,3983
2021-07-12,1 wk ahead inc case,2021-07-17,EE,point,NA,286
2021-07-12,2 wk ahead inc case,2021-07-24,EE,point,NA,329
2021-07-12,3 wk ahead inc case,2021-07-31,EE,point,NA,349
2021-07-12,4 wk ahead inc case,2021-08-07,EE,point,NA,364
2021-07-12,1 wk ahead inc case,2021-07-17,FR,point,NA,29889
2021-07-12,2 wk ahead inc case,2021-07-24,FR,point,NA,41919
2021-07-12,3 wk ahead inc case,2021-07-31,FR,point,NA,58680
2021-07-12,4 wk ahead inc case,2021-08-07,FR,point,NA,83121
2021-07-12,1 wk ahead inc case,2021-07-17,GB,point,NA,282021
2021-07-12,2 wk ahead inc case,2021-07-24,GB,point,NA,360836
2021-07-12,3 wk ahead inc case,2021-07-31,GB,point,NA,445443
2021-07-12,4 wk ahead inc case,2021-08-07,GB,point,NA,498683
