forecast_date,target,target_end_date,location,type,quantile,value
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.5,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.55,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.6,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.65,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.7,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.75,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.8,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.85,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.9,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.95,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.975,0
2024-07-01,3 wk ahead inc death,2024-07-20,BG,quantile,0.99,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.01,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.025,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.05,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.1,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.15,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.2,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.25,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.3,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.35,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.4,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.45,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.5,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.55,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.6,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.65,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.7,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.75,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.8,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.85,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.9,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.95,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.975,0
2024-07-01,4 wk ahead inc death,2024-07-27,BG,quantile,0.99,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.01,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.025,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.05,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.1,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.15,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.2,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.25,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.3,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.35,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.4,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.45,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.5,0
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.55,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.6,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.65,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.7,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.75,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.8,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.85,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.9,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.95,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.975,1
2024-07-01,1 wk ahead inc death,2024-07-06,LT,quantile,0.99,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.01,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.025,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.05,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.1,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.15,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.2,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.25,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.3,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.35,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.4,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.45,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.5,0
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.55,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.6,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.65,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.7,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.75,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.8,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.85,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.9,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.95,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.975,1
2024-07-01,2 wk ahead inc death,2024-07-13,LT,quantile,0.99,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.01,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.025,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.05,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.1,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.15,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.2,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.25,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.3,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.35,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.4,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.45,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.5,0
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.55,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.6,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.65,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.7,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.75,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.8,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.85,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.9,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.95,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.975,1
2024-07-01,3 wk ahead inc death,2024-07-20,LT,quantile,0.99,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.01,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.025,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.05,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.1,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.15,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.2,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.25,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.3,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.35,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.4,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.45,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.5,0
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.55,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.6,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.65,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.7,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.75,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.8,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.85,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.9,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.95,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.975,1
2024-07-01,4 wk ahead inc death,2024-07-27,LT,quantile,0.99,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.01,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.025,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.05,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.1,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.15,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.2,0
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.25,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.3,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.35,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.4,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.45,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.5,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.55,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.6,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.65,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.7,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.75,1
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.8,2
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.85,2
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.9,2
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.95,2
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.975,2
2024-07-01,1 wk ahead inc death,2024-07-06,CZ,quantile,0.99,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.01,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.025,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.05,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.1,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.15,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.2,0
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.25,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.3,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.35,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.4,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.45,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.5,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.55,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.6,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.65,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.7,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.75,1
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.8,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.85,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.9,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.95,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.975,2
2024-07-01,2 wk ahead inc death,2024-07-13,CZ,quantile,0.99,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.01,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.025,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.05,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.1,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.15,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.2,0
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.25,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.3,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.35,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.4,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.45,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.5,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.55,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.6,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.65,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.7,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.75,1
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.8,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.85,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.9,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.95,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.975,2
2024-07-01,3 wk ahead inc death,2024-07-20,CZ,quantile,0.99,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.01,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.025,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.05,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.1,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.15,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.2,0
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.25,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.3,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.35,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.4,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.45,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.5,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.55,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.6,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.65,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.7,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.75,1
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.8,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.85,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.9,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.95,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.975,2
2024-07-01,4 wk ahead inc death,2024-07-27,CZ,quantile,0.99,2
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.01,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.025,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.05,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.1,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.15,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.2,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.25,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.3,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.35,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.4,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.45,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.5,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.55,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.6,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.65,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.7,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.75,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.8,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.85,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.9,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.95,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.975,0
2024-07-01,1 wk ahead inc death,2024-07-06,SK,quantile,0.99,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.01,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.025,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.05,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.1,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.15,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.2,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.25,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.3,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.35,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.4,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.45,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.5,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.55,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.6,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.65,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.7,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.75,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.8,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.85,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.9,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.95,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.975,0
2024-07-01,2 wk ahead inc death,2024-07-13,SK,quantile,0.99,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.01,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.025,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.05,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.1,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.15,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.2,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.25,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.3,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.35,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.4,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.45,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.5,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.55,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.6,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.65,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.7,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.75,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.8,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.85,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.9,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.95,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.975,0
2024-07-01,3 wk ahead inc death,2024-07-20,SK,quantile,0.99,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.01,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.025,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.05,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.1,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.15,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.2,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.25,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.3,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.35,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.4,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.45,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.5,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.55,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.6,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.65,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.7,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.75,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.8,0
2024-07-01,4 wk ahead inc death,2024-07-27,SK,quantile,0.85,0
