location,target,type,quantile,value,target_end_date,forecast_date
HR,1 wk ahead inc case,point,NA,5278,2022-08-13,2022-08-08
HR,1 wk ahead inc case,quantile,0.025,1557,2022-08-13,2022-08-08
HR,1 wk ahead inc case,quantile,0.250,4064,2022-08-13,2022-08-08
HR,1 wk ahead inc case,quantile,0.750,6708,2022-08-13,2022-08-08
HR,1 wk ahead inc case,quantile,0.975,19249,2022-08-13,2022-08-08
HR,2 wk ahead inc case,point,NA,3878,2022-08-20,2022-08-08
HR,2 wk ahead inc case,quantile,0.025,322,2022-08-20,2022-08-08
HR,2 wk ahead inc case,quantile,0.250,2160,2022-08-20,2022-08-08
HR,2 wk ahead inc case,quantile,0.750,5740,2022-08-20,2022-08-08
HR,2 wk ahead inc case,quantile,0.975,30073,2022-08-20,2022-08-08
IT,1 wk ahead inc case,point,NA,198535,2022-08-13,2022-08-08
IT,1 wk ahead inc case,quantile,0.025,58568,2022-08-13,2022-08-08
IT,1 wk ahead inc case,quantile,0.250,152872,2022-08-13,2022-08-08
IT,1 wk ahead inc case,quantile,0.750,252338,2022-08-13,2022-08-08
IT,1 wk ahead inc case,quantile,0.975,724056,2022-08-13,2022-08-08
IT,2 wk ahead inc case,point,NA,132269,2022-08-20,2022-08-08
IT,2 wk ahead inc case,quantile,0.025,10978,2022-08-20,2022-08-08
IT,2 wk ahead inc case,quantile,0.250,73674,2022-08-20,2022-08-08
IT,2 wk ahead inc case,quantile,0.750,195759,2022-08-20,2022-08-08
IT,2 wk ahead inc case,quantile,0.975,1025617,2022-08-20,2022-08-08
LT,1 wk ahead inc case,point,NA,7110,2022-08-13,2022-08-08
LT,1 wk ahead inc case,quantile,0.025,2097,2022-08-13,2022-08-08
LT,1 wk ahead inc case,quantile,0.250,5475,2022-08-13,2022-08-08
LT,1 wk ahead inc case,quantile,0.750,9037,2022-08-13,2022-08-08
LT,1 wk ahead inc case,quantile,0.975,25930,2022-08-13,2022-08-08
LT,2 wk ahead inc case,point,NA,6819,2022-08-20,2022-08-08
LT,2 wk ahead inc case,quantile,0.025,566,2022-08-20,2022-08-08
LT,2 wk ahead inc case,quantile,0.250,3798,2022-08-20,2022-08-08
LT,2 wk ahead inc case,quantile,0.750,10092,2022-08-20,2022-08-08
LT,2 wk ahead inc case,quantile,0.975,52873,2022-08-20,2022-08-08
NO,1 wk ahead inc case,point,NA,919,2022-08-13,2022-08-08
NO,1 wk ahead inc case,quantile,0.025,271,2022-08-13,2022-08-08
NO,1 wk ahead inc case,quantile,0.250,707,2022-08-13,2022-08-08
NO,1 wk ahead inc case,quantile,0.750,1168,2022-08-13,2022-08-08
NO,1 wk ahead inc case,quantile,0.975,3351,2022-08-13,2022-08-08
NO,2 wk ahead inc case,point,NA,712,2022-08-20,2022-08-08
NO,2 wk ahead inc case,quantile,0.025,59,2022-08-20,2022-08-08
NO,2 wk ahead inc case,quantile,0.250,397,2022-08-20,2022-08-08
NO,2 wk ahead inc case,quantile,0.750,1054,2022-08-20,2022-08-08
NO,2 wk ahead inc case,quantile,0.975,5521,2022-08-20,2022-08-08
PL,1 wk ahead inc case,point,NA,24990,2022-08-13,2022-08-08
PL,1 wk ahead inc case,quantile,0.025,7372,2022-08-13,2022-08-08
PL,1 wk ahead inc case,quantile,0.250,19242,2022-08-13,2022-08-08
PL,1 wk ahead inc case,quantile,0.750,31762,2022-08-13,2022-08-08
PL,1 wk ahead inc case,quantile,0.975,91139,2022-08-13,2022-08-08
PL,2 wk ahead inc case,point,NA,26146,2022-08-20,2022-08-08
PL,2 wk ahead inc case,quantile,0.025,2170,2022-08-20,2022-08-08
PL,2 wk ahead inc case,quantile,0.250,14563,2022-08-20,2022-08-08
PL,2 wk ahead inc case,quantile,0.750,38696,2022-08-20,2022-08-08
PL,2 wk ahead inc case,quantile,0.975,202735,2022-08-20,2022-08-08
SI,1 wk ahead inc case,point,NA,13780,2022-08-13,2022-08-08
SI,1 wk ahead inc case,quantile,0.025,4065,2022-08-13,2022-08-08
SI,1 wk ahead inc case,quantile,0.250,10611,2022-08-13,2022-08-08
SI,1 wk ahead inc case,quantile,0.750,17515,2022-08-13,2022-08-08
SI,1 wk ahead inc case,quantile,0.975,50256,2022-08-13,2022-08-08
SI,2 wk ahead inc case,point,NA,14080,2022-08-20,2022-08-08
SI,2 wk ahead inc case,quantile,0.025,1169,2022-08-20,2022-08-08
SI,2 wk ahead inc case,quantile,0.250,7842,2022-08-20,2022-08-08
SI,2 wk ahead inc case,quantile,0.750,20838,2022-08-20,2022-08-08
SI,2 wk ahead inc case,quantile,0.975,109172,2022-08-20,2022-08-08
HR,1 wk ahead inc death,point,NA,102,2022-08-13,2022-08-08
HR,1 wk ahead inc death,quantile,0.025,30,2022-08-13,2022-08-08
HR,1 wk ahead inc death,quantile,0.250,79,2022-08-13,2022-08-08
HR,1 wk ahead inc death,quantile,0.750,130,2022-08-13,2022-08-08
HR,1 wk ahead inc death,quantile,0.975,373,2022-08-13,2022-08-08
HR,2 wk ahead inc death,point,NA,106,2022-08-20,2022-08-08
HR,2 wk ahead inc death,quantile,0.025,9,2022-08-20,2022-08-08
HR,2 wk ahead inc death,quantile,0.250,59,2022-08-20,2022-08-08
HR,2 wk ahead inc death,quantile,0.750,157,2022-08-20,2022-08-08
HR,2 wk ahead inc death,quantile,0.975,823,2022-08-20,2022-08-08
IT,1 wk ahead inc death,point,NA,845,2022-08-13,2022-08-08
IT,1 wk ahead inc death,quantile,0.025,249,2022-08-13,2022-08-08
IT,1 wk ahead inc death,quantile,0.250,651,2022-08-13,2022-08-08
IT,1 wk ahead inc death,quantile,0.750,1075,2022-08-13,2022-08-08
IT,1 wk ahead inc death,quantile,0.975,3084,2022-08-13,2022-08-08
IT,2 wk ahead inc death,point,NA,671,2022-08-20,2022-08-08
IT,2 wk ahead inc death,quantile,0.025,56,2022-08-20,2022-08-08
IT,2 wk ahead inc death,quantile,0.250,373,2022-08-20,2022-08-08
IT,2 wk ahead inc death,quantile,0.750,992,2022-08-20,2022-08-08
IT,2 wk ahead inc death,quantile,0.975,5199,2022-08-20,2022-08-08
