location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,29963,2021-10-30,2021-10-25
AT,1 wk ahead inc case,quantile,0.025,8839,2021-10-30,2021-10-25
AT,1 wk ahead inc case,quantile,0.25,23071,2021-10-30,2021-10-25
AT,1 wk ahead inc case,quantile,0.75,38083,2021-10-30,2021-10-25
AT,1 wk ahead inc case,quantile,0.975,109275,2021-10-30,2021-10-25
AT,2 wk ahead inc case,point,NA,37285,2021-11-06,2021-10-25
AT,2 wk ahead inc case,quantile,0.025,3095,2021-11-06,2021-10-25
AT,2 wk ahead inc case,quantile,0.25,20767,2021-11-06,2021-10-25
AT,2 wk ahead inc case,quantile,0.75,55181,2021-11-06,2021-10-25
AT,2 wk ahead inc case,quantile,0.975,289104,2021-11-06,2021-10-25
BG,1 wk ahead inc case,point,NA,38134,2021-10-30,2021-10-25
BG,1 wk ahead inc case,quantile,0.025,11250,2021-10-30,2021-10-25
BG,1 wk ahead inc case,quantile,0.25,29364,2021-10-30,2021-10-25
BG,1 wk ahead inc case,quantile,0.75,48469,2021-10-30,2021-10-25
BG,1 wk ahead inc case,quantile,0.975,139077,2021-10-30,2021-10-25
BG,2 wk ahead inc case,point,NA,49785,2021-11-06,2021-10-25
BG,2 wk ahead inc case,quantile,0.025,4132,2021-11-06,2021-10-25
BG,2 wk ahead inc case,quantile,0.25,27730,2021-11-06,2021-10-25
BG,2 wk ahead inc case,quantile,0.75,73681,2021-11-06,2021-10-25
BG,2 wk ahead inc case,quantile,0.975,386031,2021-11-06,2021-10-25
CZ,1 wk ahead inc case,point,NA,38025,2021-10-30,2021-10-25
CZ,1 wk ahead inc case,quantile,0.025,11217,2021-10-30,2021-10-25
CZ,1 wk ahead inc case,quantile,0.25,29279,2021-10-30,2021-10-25
CZ,1 wk ahead inc case,quantile,0.75,48330,2021-10-30,2021-10-25
CZ,1 wk ahead inc case,quantile,0.975,138678,2021-10-30,2021-10-25
CZ,2 wk ahead inc case,point,NA,68385,2021-11-06,2021-10-25
CZ,2 wk ahead inc case,quantile,0.025,5676,2021-11-06,2021-10-25
CZ,2 wk ahead inc case,quantile,0.25,38091,2021-11-06,2021-10-25
CZ,2 wk ahead inc case,quantile,0.75,101210,2021-11-06,2021-10-25
CZ,2 wk ahead inc case,quantile,0.975,530260,2021-11-06,2021-10-25
