location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,285969,2022-02-05,2022-01-31
AT,1 wk ahead inc case,quantile,0.025,84361,2022-02-05,2022-01-31
AT,1 wk ahead inc case,quantile,0.25,220196,2022-02-05,2022-01-31
AT,1 wk ahead inc case,quantile,0.75,363467,2022-02-05,2022-01-31
AT,1 wk ahead inc case,quantile,0.975,1042929,2022-02-05,2022-01-31
AT,2 wk ahead inc case,point,NA,313258,2022-02-12,2022-01-31
AT,2 wk ahead inc case,quantile,0.025,26000,2022-02-12,2022-01-31
AT,2 wk ahead inc case,quantile,0.25,174485,2022-02-12,2022-01-31
AT,2 wk ahead inc case,quantile,0.75,463621,2022-02-12,2022-01-31
AT,2 wk ahead inc case,quantile,0.975,2429000,2022-02-12,2022-01-31
BG,1 wk ahead inc case,point,NA,57715,2022-02-05,2022-01-31
BG,1 wk ahead inc case,quantile,0.025,17026,2022-02-05,2022-01-31
BG,1 wk ahead inc case,quantile,0.25,44440,2022-02-05,2022-01-31
BG,1 wk ahead inc case,quantile,0.75,73355,2022-02-05,2022-01-31
BG,1 wk ahead inc case,quantile,0.975,210486,2022-02-05,2022-01-31
BG,2 wk ahead inc case,point,NA,52163,2022-02-12,2022-01-31
BG,2 wk ahead inc case,quantile,0.025,4330,2022-02-12,2022-01-31
BG,2 wk ahead inc case,quantile,0.25,29055,2022-02-12,2022-01-31
BG,2 wk ahead inc case,quantile,0.75,77201,2022-02-12,2022-01-31
BG,2 wk ahead inc case,quantile,0.975,404472,2022-02-12,2022-01-31
CZ,1 wk ahead inc case,point,NA,328500,2022-02-05,2022-01-31
CZ,1 wk ahead inc case,quantile,0.025,96907,2022-02-05,2022-01-31
CZ,1 wk ahead inc case,quantile,0.25,252945,2022-02-05,2022-01-31
CZ,1 wk ahead inc case,quantile,0.75,417523,2022-02-05,2022-01-31
CZ,1 wk ahead inc case,quantile,0.975,1198039,2022-02-05,2022-01-31
CZ,2 wk ahead inc case,point,NA,427899,2022-02-12,2022-01-31
CZ,2 wk ahead inc case,quantile,0.025,35516,2022-02-12,2022-01-31
CZ,2 wk ahead inc case,quantile,0.25,238340,2022-02-12,2022-01-31
CZ,2 wk ahead inc case,quantile,0.75,633290,2022-02-12,2022-01-31
CZ,2 wk ahead inc case,quantile,0.975,3317929,2022-02-12,2022-01-31
DE,1 wk ahead inc case,point,NA,1085998,2022-02-05,2022-01-31
