forecast_date,target,target_end_date,location,type,quantile,value
2022-03-28,1 wk ahead inc case,2022-04-02,DE,point,NA,1437332
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.01,1381495
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.025,1390289
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.05,1397852
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.1,1406572
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.15,1412456
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.2,1417132
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.25,1421143
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.3,1424746
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.35,1428084
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.4,1431252
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.45,1434316
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.5,1437332
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.55,1440349
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.6,1443413
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.65,1446581
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.7,1449919
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.75,1453522
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.8,1457533
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.85,1462209
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.9,1468093
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.95,1476813
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.975,1484376
2022-03-28,1 wk ahead inc case,2022-04-02,DE,quantile,0.99,1493170
2022-03-28,2 wk ahead inc case,2022-04-09,DE,point,NA,1245903
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.01,1081586
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.025,1107465
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.05,1129722
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.1,1155383
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.15,1172697
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.2,1186457
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.25,1198262
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.3,1208863
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.35,1218687
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.4,1228009
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.45,1237027
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.5,1245903
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.55,1254779
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.6,1263798
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.65,1273120
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.7,1282943
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.75,1293545
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.8,1305350
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.85,1319110
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.9,1336424
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.95,1362085
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.975,1384342
2022-03-28,2 wk ahead inc case,2022-04-09,DE,quantile,0.99,1410221
2022-03-28,3 wk ahead inc case,2022-04-16,DE,point,NA,1108903
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.01,826344
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.025,870845
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.05,909119
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.1,953245
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.15,983017
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.2,1006679
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.25,1026979
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.3,1045209
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.35,1062102
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.4,1078131
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.45,1093640
2022-03-28,3 wk ahead inc case,2022-04-16,DE,quantile,0.5,1108903
