location_name,location,date,value,source,snapshot_date,status
Belgium,BE,2020-03-28,3232,OWID,2022-07-18,final
Belgium,BE,2020-04-04,3756,OWID,2022-07-18,final
Belgium,BE,2020-04-11,2913,OWID,2022-07-18,final
Belgium,BE,2020-04-18,1975,OWID,2022-07-18,final
Belgium,BE,2020-04-25,1517,OWID,2022-07-18,final
Belgium,BE,2020-05-02,978,OWID,2022-07-18,final
Belgium,BE,2020-05-09,664,OWID,2022-07-18,final
Belgium,BE,2020-05-16,460,OWID,2022-07-18,final
Belgium,BE,2020-05-23,389,OWID,2022-07-18,final
Belgium,BE,2020-05-30,260,OWID,2022-07-18,final
Belgium,BE,2020-06-06,200,OWID,2022-07-18,final
Belgium,BE,2020-06-13,155,OWID,2022-07-18,final
Belgium,BE,2020-06-20,134,OWID,2022-07-18,final
Belgium,BE,2020-06-27,109,OWID,2022-07-18,final
Belgium,BE,2020-07-04,82,OWID,2022-07-18,final
Belgium,BE,2020-07-11,71,OWID,2022-07-18,final
Belgium,BE,2020-07-18,96,OWID,2022-07-18,final
Belgium,BE,2020-07-25,156,OWID,2022-07-18,final
Belgium,BE,2020-08-01,197,OWID,2022-07-18,final
Belgium,BE,2020-08-08,232,OWID,2022-07-18,final
Belgium,BE,2020-08-15,273,OWID,2022-07-18,final
Belgium,BE,2020-08-22,211,OWID,2022-07-18,final
Belgium,BE,2020-08-29,116,OWID,2022-07-18,final
Belgium,BE,2020-09-05,137,OWID,2022-07-18,final
Belgium,BE,2020-09-12,204,OWID,2022-07-18,final
Belgium,BE,2020-09-19,336,OWID,2022-07-18,final
Belgium,BE,2020-09-26,482,OWID,2022-07-18,final
Belgium,BE,2020-10-03,549,OWID,2022-07-18,final
Belgium,BE,2020-10-10,887,OWID,2022-07-18,final
Belgium,BE,2020-10-17,1719,OWID,2022-07-18,final
Belgium,BE,2020-10-24,3157,OWID,2022-07-18,final
Belgium,BE,2020-10-31,4683,OWID,2022-07-18,final
Belgium,BE,2020-11-07,4463,OWID,2022-07-18,final
Belgium,BE,2020-11-14,3442,OWID,2022-07-18,final
