location,location_name,date,value
AT,Austria,2020-01-23,0
BE,Belgium,2020-01-23,0
BG,Bulgaria,2020-01-23,0
HR,Croatia,2020-01-23,0
CY,Cyprus,2020-01-23,0
CZ,Czechia,2020-01-23,0
DK,Denmark,2020-01-23,0
EE,Estonia,2020-01-23,0
FI,Finland,2020-01-23,0
FR,France,2020-01-23,0
DE,Germany,2020-01-23,0
GR,Greece,2020-01-23,0
HU,Hungary,2020-01-23,0
IS,Iceland,2020-01-23,0
IE,Ireland,2020-01-23,0
IT,Italy,2020-01-23,0
LV,Latvia,2020-01-23,0
LI,Liechtenstein,2020-01-23,0
LT,Lithuania,2020-01-23,0
LU,Luxembourg,2020-01-23,0
MT,Malta,2020-01-23,0
NL,Netherlands,2020-01-23,0
NO,Norway,2020-01-23,0
PL,Poland,2020-01-23,0
PT,Portugal,2020-01-23,0
RO,Romania,2020-01-23,0
SK,Slovakia,2020-01-23,0
SI,Slovenia,2020-01-23,0
ES,Spain,2020-01-23,0
SE,Sweden,2020-01-23,0
CH,Switzerland,2020-01-23,0
GB,United Kingdom,2020-01-23,0
AT,Austria,2020-01-24,0
BE,Belgium,2020-01-24,0
BG,Bulgaria,2020-01-24,0
HR,Croatia,2020-01-24,0
CY,Cyprus,2020-01-24,0
CZ,Czechia,2020-01-24,0
DK,Denmark,2020-01-24,0
EE,Estonia,2020-01-24,0
FI,Finland,2020-01-24,0
FR,France,2020-01-24,2
DE,Germany,2020-01-24,0
GR,Greece,2020-01-24,0
HU,Hungary,2020-01-24,0
IS,Iceland,2020-01-24,0
IE,Ireland,2020-01-24,0
IT,Italy,2020-01-24,0
LV,Latvia,2020-01-24,0
LI,Liechtenstein,2020-01-24,0
LT,Lithuania,2020-01-24,0
LU,Luxembourg,2020-01-24,0
MT,Malta,2020-01-24,0
NL,Netherlands,2020-01-24,0
NO,Norway,2020-01-24,0
PL,Poland,2020-01-24,0
PT,Portugal,2020-01-24,0
RO,Romania,2020-01-24,0
SK,Slovakia,2020-01-24,0
SI,Slovenia,2020-01-24,0
ES,Spain,2020-01-24,0
SE,Sweden,2020-01-24,0
CH,Switzerland,2020-01-24,0
GB,United Kingdom,2020-01-24,0
AT,Austria,2020-01-25,0
BE,Belgium,2020-01-25,0
BG,Bulgaria,2020-01-25,0
HR,Croatia,2020-01-25,0
CY,Cyprus,2020-01-25,0
CZ,Czechia,2020-01-25,0
DK,Denmark,2020-01-25,0
EE,Estonia,2020-01-25,0
FI,Finland,2020-01-25,0
FR,France,2020-01-25,1
DE,Germany,2020-01-25,0
GR,Greece,2020-01-25,0
HU,Hungary,2020-01-25,0
IS,Iceland,2020-01-25,0
IE,Ireland,2020-01-25,0
IT,Italy,2020-01-25,0
LV,Latvia,2020-01-25,0
LI,Liechtenstein,2020-01-25,0
LT,Lithuania,2020-01-25,0
LU,Luxembourg,2020-01-25,0
MT,Malta,2020-01-25,0
NL,Netherlands,2020-01-25,0
NO,Norway,2020-01-25,0
PL,Poland,2020-01-25,0
PT,Portugal,2020-01-25,0
RO,Romania,2020-01-25,0
SK,Slovakia,2020-01-25,0
SI,Slovenia,2020-01-25,0
ES,Spain,2020-01-25,0
SE,Sweden,2020-01-25,0
CH,Switzerland,2020-01-25,0
GB,United Kingdom,2020-01-25,0
AT,Austria,2020-01-26,0
BE,Belgium,2020-01-26,0
BG,Bulgaria,2020-01-26,0
HR,Croatia,2020-01-26,0
CY,Cyprus,2020-01-26,0
CZ,Czechia,2020-01-26,0
DK,Denmark,2020-01-26,0
EE,Estonia,2020-01-26,0
FI,Finland,2020-01-26,0
FR,France,2020-01-26,0
DE,Germany,2020-01-26,0
GR,Greece,2020-01-26,0
HU,Hungary,2020-01-26,0
IS,Iceland,2020-01-26,0
IE,Ireland,2020-01-26,0
IT,Italy,2020-01-26,0
LV,Latvia,2020-01-26,0
LI,Liechtenstein,2020-01-26,0
LT,Lithuania,2020-01-26,0
LU,Luxembourg,2020-01-26,0
MT,Malta,2020-01-26,0
NL,Netherlands,2020-01-26,0
NO,Norway,2020-01-26,0
PL,Poland,2020-01-26,0
PT,Portugal,2020-01-26,0
RO,Romania,2020-01-26,0
SK,Slovakia,2020-01-26,0
SI,Slovenia,2020-01-26,0
ES,Spain,2020-01-26,0
SE,Sweden,2020-01-26,0
CH,Switzerland,2020-01-26,0
GB,United Kingdom,2020-01-26,0
AT,Austria,2020-01-27,0
BE,Belgium,2020-01-27,0
BG,Bulgaria,2020-01-27,0
HR,Croatia,2020-01-27,0
CY,Cyprus,2020-01-27,0
CZ,Czechia,2020-01-27,0
DK,Denmark,2020-01-27,0
EE,Estonia,2020-01-27,0
FI,Finland,2020-01-27,0
FR,France,2020-01-27,0
DE,Germany,2020-01-27,1
GR,Greece,2020-01-27,0
HU,Hungary,2020-01-27,0
IS,Iceland,2020-01-27,0
IE,Ireland,2020-01-27,0
IT,Italy,2020-01-27,0
LV,Latvia,2020-01-27,0
LI,Liechtenstein,2020-01-27,0
