forecast_date,target,target_end_date,location,type,quantile,value
2021-03-07,1 wk ahead inc case,2021-03-13,AT,quantile,0.010,4225.6
2021-03-07,1 wk ahead inc case,2021-03-13,BE,quantile,0.010,13262.1
2021-03-07,1 wk ahead inc case,2021-03-13,BG,quantile,0.010,11249.8
2021-03-07,1 wk ahead inc case,2021-03-13,HR,quantile,0.010,1292.6
2021-03-07,1 wk ahead inc case,2021-03-13,CY,quantile,0.010,574.3
2021-03-07,1 wk ahead inc case,2021-03-13,CZ,quantile,0.010,43374.7
2021-03-07,1 wk ahead inc case,2021-03-13,DK,quantile,0.010,1589.8
2021-03-07,1 wk ahead inc case,2021-03-13,EE,quantile,0.010,3473.9
2021-03-07,1 wk ahead inc case,2021-03-13,FI,quantile,0.010,3653.4
2021-03-07,1 wk ahead inc case,2021-03-13,FR,quantile,0.010,137004
2021-03-07,1 wk ahead inc case,2021-03-13,DE,quantile,0.010,22830.5
2021-03-07,1 wk ahead inc case,2021-03-13,GR,quantile,0.010,9652.5
2021-03-07,1 wk ahead inc case,2021-03-13,HU,quantile,0.010,3456
2021-03-07,1 wk ahead inc case,2021-03-13,IS,quantile,0.010,5.7
2021-03-07,1 wk ahead inc case,2021-03-13,IE,quantile,0.010,2440.2
2021-03-07,1 wk ahead inc case,2021-03-13,IT,quantile,0.010,62095.2
2021-03-07,1 wk ahead inc case,2021-03-13,LV,quantile,0.010,4122.8
2021-03-07,1 wk ahead inc case,2021-03-13,LI,quantile,0.010,13.8
2021-03-07,1 wk ahead inc case,2021-03-13,LT,quantile,0.010,1025.4
2021-03-07,1 wk ahead inc case,2021-03-13,LU,quantile,0.010,470.3
2021-03-07,1 wk ahead inc case,2021-03-13,MT,quantile,0.010,554.3
2021-03-07,1 wk ahead inc case,2021-03-13,NL,quantile,0.010,19138.5
2021-03-07,1 wk ahead inc case,2021-03-13,NO,quantile,0.010,1086.1
2021-03-07,1 wk ahead inc case,2021-03-13,PL,quantile,0.010,29936
2021-03-07,1 wk ahead inc case,2021-03-13,PT,quantile,0.010,4065.4
2021-03-07,1 wk ahead inc case,2021-03-13,RO,quantile,0.010,15152.1
2021-03-07,1 wk ahead inc case,2021-03-13,SK,quantile,0.010,15337.5
2021-03-07,1 wk ahead inc case,2021-03-13,SI,quantile,0.010,3713.5
2021-03-07,1 wk ahead inc case,2021-03-13,ES,quantile,0.010,17791.1
2021-03-07,1 wk ahead inc case,2021-03-13,SE,quantile,0.010,5676.2
2021-03-07,1 wk ahead inc case,2021-03-13,CH,quantile,0.010,4447.8
2021-03-07,1 wk ahead inc case,2021-03-13,GB,quantile,0.010,31576.7
2021-03-07,2 wk ahead inc case,2021-03-20,AT,quantile,0.010,5011.4
2021-03-07,2 wk ahead inc case,2021-03-20,BE,quantile,0.010,11442.8
2021-03-07,2 wk ahead inc case,2021-03-20,BG,quantile,0.010,14879.8
2021-03-07,2 wk ahead inc case,2021-03-20,HR,quantile,0.010,1432.4
2021-03-07,2 wk ahead inc case,2021-03-20,CY,quantile,0.010,493.4
2021-03-07,2 wk ahead inc case,2021-03-20,CZ,quantile,0.010,41646.8
2021-03-07,2 wk ahead inc case,2021-03-20,DK,quantile,0.010,1760.5
2021-03-07,2 wk ahead inc case,2021-03-20,EE,quantile,0.010,4799.7
2021-03-07,2 wk ahead inc case,2021-03-20,FI,quantile,0.010,4206
2021-03-07,2 wk ahead inc case,2021-03-20,FR,quantile,0.010,131872
2021-03-07,2 wk ahead inc case,2021-03-20,DE,quantile,0.010,24564.5
2021-03-07,2 wk ahead inc case,2021-03-20,GR,quantile,0.010,11580.9
2021-03-07,2 wk ahead inc case,2021-03-20,HU,quantile,0.010,7312.6
2021-03-07,2 wk ahead inc case,2021-03-20,IS,quantile,0.010,5.7
2021-03-07,2 wk ahead inc case,2021-03-20,IE,quantile,0.010,2091.9
2021-03-07,2 wk ahead inc case,2021-03-20,IT,quantile,0.010,59750.4
2021-03-07,2 wk ahead inc case,2021-03-20,LV,quantile,0.010,3922.4
2021-03-07,2 wk ahead inc case,2021-03-20,LI,quantile,0.010,15.4
2021-03-07,2 wk ahead inc case,2021-03-20,LT,quantile,0.010,845.9
2021-03-07,2 wk ahead inc case,2021-03-20,LU,quantile,0.010,206.2
2021-03-07,2 wk ahead inc case,2021-03-20,MT,quantile,0.010,611.1
2021-03-07,2 wk ahead inc case,2021-03-20,NL,quantile,0.010,20062.2
2021-03-07,2 wk ahead inc case,2021-03-20,NO,quantile,0.010,1069.4
2021-03-07,2 wk ahead inc case,2021-03-20,PL,quantile,0.010,30949.4
2021-03-07,2 wk ahead inc case,2021-03-20,PT,quantile,0.010,3331.9
2021-03-07,2 wk ahead inc case,2021-03-20,RO,quantile,0.010,14736.7
2021-03-07,2 wk ahead inc case,2021-03-20,SK,quantile,0.010,16013
2021-03-07,2 wk ahead inc case,2021-03-20,SI,quantile,0.010,3758.4
2021-03-07,2 wk ahead inc case,2021-03-20,ES,quantile,0.010,9560.9
2021-03-07,2 wk ahead inc case,2021-03-20,SE,quantile,0.010,4954.7
2021-03-07,2 wk ahead inc case,2021-03-20,CH,quantile,0.010,3584.8
2021-03-07,2 wk ahead inc case,2021-03-20,GB,quantile,0.010,23530.6
2021-03-07,3 wk ahead inc case,2021-03-27,AT,quantile,0.010,5950.3
2021-03-07,3 wk ahead inc case,2021-03-27,BE,quantile,0.010,9763
2021-03-07,3 wk ahead inc case,2021-03-27,BG,quantile,0.010,18342.6
2021-03-07,3 wk ahead inc case,2021-03-27,HR,quantile,0.010,1601
2021-03-07,3 wk ahead inc case,2021-03-27,CY,quantile,0.010,423.4
2021-03-07,3 wk ahead inc case,2021-03-27,CZ,quantile,0.010,37893.6
2021-03-07,3 wk ahead inc case,2021-03-27,DK,quantile,0.010,1960.2
2021-03-07,3 wk ahead inc case,2021-03-27,EE,quantile,0.010,6424.8
2021-03-07,3 wk ahead inc case,2021-03-27,FI,quantile,0.010,4867.9
2021-03-07,3 wk ahead inc case,2021-03-27,FR,quantile,0.010,125161
2021-03-07,3 wk ahead inc case,2021-03-27,DE,quantile,0.010,25542.5
2021-03-07,3 wk ahead inc case,2021-03-27,GR,quantile,0.010,13981.8
2021-03-07,3 wk ahead inc case,2021-03-27,HU,quantile,0.010,11984.1
2021-03-07,3 wk ahead inc case,2021-03-27,IS,quantile,0.010,4.7
2021-03-07,3 wk ahead inc case,2021-03-27,IE,quantile,0.010,1779.8
2021-03-07,3 wk ahead inc case,2021-03-27,IT,quantile,0.010,57890.5
2021-03-07,3 wk ahead inc case,2021-03-27,LV,quantile,0.010,3733.7
2021-03-07,3 wk ahead inc case,2021-03-27,LI,quantile,0.010,18.8
2021-03-07,3 wk ahead inc case,2021-03-27,LT,quantile,0.010,679.8
2021-03-07,3 wk ahead inc case,2021-03-27,LU,quantile,0.010,0
2021-03-07,3 wk ahead inc case,2021-03-27,MT,quantile,0.010,669.4
2021-03-07,3 wk ahead inc case,2021-03-27,NL,quantile,0.010,21161.4
2021-03-07,3 wk ahead inc case,2021-03-27,NO,quantile,0.010,1056.3
2021-03-07,3 wk ahead inc case,2021-03-27,PL,quantile,0.010,31745.6
2021-03-07,3 wk ahead inc case,2021-03-27,PT,quantile,0.010,2709.5
2021-03-07,3 wk ahead inc case,2021-03-27,RO,quantile,0.010,14327.2
2021-03-07,3 wk ahead inc case,2021-03-27,SK,quantile,0.010,16638.5
2021-03-07,3 wk ahead inc case,2021-03-27,SI,quantile,0.010,3783.5
2021-03-07,3 wk ahead inc case,2021-03-27,ES,quantile,0.010,4564.2
2021-03-07,3 wk ahead inc case,2021-03-27,SE,quantile,0.010,4075.5
2021-03-07,3 wk ahead inc case,2021-03-27,CH,quantile,0.010,2859.2
2021-03-07,3 wk ahead inc case,2021-03-27,GB,quantile,0.010,17327.3
2021-03-07,4 wk ahead inc case,2021-04-03,AT,quantile,0.010,5602.5
2021-03-07,4 wk ahead inc case,2021-04-03,BE,quantile,0.010,8297.4
2021-03-07,4 wk ahead inc case,2021-04-03,BG,quantile,0.010,21980.1
2021-03-07,4 wk ahead inc case,2021-04-03,HR,quantile,0.010,1567.2
2021-03-07,4 wk ahead inc case,2021-04-03,CY,quantile,0.010,379.2
2021-03-07,4 wk ahead inc case,2021-04-03,CZ,quantile,0.010,31864.2
2021-03-07,4 wk ahead inc case,2021-04-03,DK,quantile,0.010,2144.6
2021-03-07,4 wk ahead inc case,2021-04-03,EE,quantile,0.010,7349.4
2021-03-07,4 wk ahead inc case,2021-04-03,FI,quantile,0.010,5397.1
2021-03-07,4 wk ahead inc case,2021-04-03,FR,quantile,0.010,117753
2021-03-07,4 wk ahead inc case,2021-04-03,DE,quantile,0.010,24058.6
2021-03-07,4 wk ahead inc case,2021-04-03,GR,quantile,0.010,15503.7
2021-03-07,4 wk ahead inc case,2021-04-03,HU,quantile,0.010,13026.1
2021-03-07,4 wk ahead inc case,2021-04-03,IS,quantile,0.010,4.7
2021-03-07,4 wk ahead inc case,2021-04-03,IE,quantile,0.010,1571.1
2021-03-07,4 wk ahead inc case,2021-04-03,IT,quantile,0.010,54501
2021-03-07,4 wk ahead inc case,2021-04-03,LV,quantile,0.010,3512.6
2021-03-07,4 wk ahead inc case,2021-04-03,LI,quantile,0.010,20.7
2021-03-07,4 wk ahead inc case,2021-04-03,LT,quantile,0.010,513.2
2021-03-07,4 wk ahead inc case,2021-04-03,LU,quantile,0.010,0
2021-03-07,4 wk ahead inc case,2021-04-03,MT,quantile,0.010,612.5
2021-03-07,4 wk ahead inc case,2021-04-03,NL,quantile,0.010,21633
2021-03-07,4 wk ahead inc case,2021-04-03,NO,quantile,0.010,974.1
2021-03-07,4 wk ahead inc case,2021-04-03,PL,quantile,0.010,30585
2021-03-07,4 wk ahead inc case,2021-04-03,PT,quantile,0.010,2395.9
2021-03-07,4 wk ahead inc case,2021-04-03,RO,quantile,0.010,13565.9
2021-03-07,4 wk ahead inc case,2021-04-03,SK,quantile,0.010,17031.3
2021-03-07,4 wk ahead inc case,2021-04-03,SI,quantile,0.010,3788.6
2021-03-07,4 wk ahead inc case,2021-04-03,ES,quantile,0.010,2478.5
2021-03-07,4 wk ahead inc case,2021-04-03,SE,quantile,0.010,3278.1
2021-03-07,4 wk ahead inc case,2021-04-03,CH,quantile,0.010,2261.3
2021-03-07,4 wk ahead inc case,2021-04-03,GB,quantile,0.010,13128.5
2021-03-07,5 wk ahead inc case,2021-04-10,AT,quantile,0.010,5395.2
2021-03-07,5 wk ahead inc case,2021-04-10,BE,quantile,0.010,7059.1
2021-03-07,5 wk ahead inc case,2021-04-10,BG,quantile,0.010,26982.3
2021-03-07,5 wk ahead inc case,2021-04-10,HR,quantile,0.010,1563.8
2021-03-07,5 wk ahead inc case,2021-04-10,CY,quantile,0.010,336.5
2021-03-07,5 wk ahead inc case,2021-04-10,CZ,quantile,0.010,25477.5
2021-03-07,5 wk ahead inc case,2021-04-10,DK,quantile,0.010,2363.6
2021-03-07,5 wk ahead inc case,2021-04-10,EE,quantile,0.010,8586.7
2021-03-07,5 wk ahead inc case,2021-04-10,FI,quantile,0.010,5997.6
2021-03-07,5 wk ahead inc case,2021-04-10,FR,quantile,0.010,110464
2021-03-07,5 wk ahead inc case,2021-04-10,DE,quantile,0.010,25391.6
2021-03-07,5 wk ahead inc case,2021-04-10,GR,quantile,0.010,17165.3
2021-03-07,5 wk ahead inc case,2021-04-10,HU,quantile,0.010,14258.7
2021-03-07,5 wk ahead inc case,2021-04-10,IS,quantile,0.010,4.8
2021-03-07,5 wk ahead inc case,2021-04-10,IE,quantile,0.010,1395.7
2021-03-07,5 wk ahead inc case,2021-04-10,IT,quantile,0.010,51214.2
2021-03-07,5 wk ahead inc case,2021-04-10,LV,quantile,0.010,3300.8
2021-03-07,5 wk ahead inc case,2021-04-10,LI,quantile,0.010,23.5
2021-03-07,5 wk ahead inc case,2021-04-10,LT,quantile,0.010,386.8
2021-03-07,5 wk ahead inc case,2021-04-10,LU,quantile,0.010,0
2021-03-07,5 wk ahead inc case,2021-04-10,MT,quantile,0.010,570.7
2021-03-07,5 wk ahead inc case,2021-04-10,NL,quantile,0.010,22286.5
2021-03-07,5 wk ahead inc case,2021-04-10,NO,quantile,0.010,896.8
2021-03-07,5 wk ahead inc case,2021-04-10,PL,quantile,0.010,29375.3
2021-03-07,5 wk ahead inc case,2021-04-10,PT,quantile,0.010,2074.5
2021-03-07,5 wk ahead inc case,2021-04-10,RO,quantile,0.010,12858.9
2021-03-07,5 wk ahead inc case,2021-04-10,SK,quantile,0.010,17367.6
2021-03-07,5 wk ahead inc case,2021-04-10,SI,quantile,0.010,3801.2
2021-03-07,5 wk ahead inc case,2021-04-10,ES,quantile,0.010,1334
2021-03-07,5 wk ahead inc case,2021-04-10,SE,quantile,0.010,2671
2021-03-07,5 wk ahead inc case,2021-04-10,CH,quantile,0.010,1787.7
2021-03-07,5 wk ahead inc case,2021-04-10,GB,quantile,0.010,9971.4
2021-03-07,1 wk ahead inc case,2021-03-13,AT,quantile,0.025,4225.6
2021-03-07,1 wk ahead inc case,2021-03-13,BE,quantile,0.025,13262.1
2021-03-07,1 wk ahead inc case,2021-03-13,BG,quantile,0.025,11249.8
2021-03-07,1 wk ahead inc case,2021-03-13,HR,quantile,0.025,1292.6
2021-03-07,1 wk ahead inc case,2021-03-13,CY,quantile,0.025,574.3
2021-03-07,1 wk ahead inc case,2021-03-13,CZ,quantile,0.025,43374.7
2021-03-07,1 wk ahead inc case,2021-03-13,DK,quantile,0.025,1589.8
2021-03-07,1 wk ahead inc case,2021-03-13,EE,quantile,0.025,3473.9
2021-03-07,1 wk ahead inc case,2021-03-13,FI,quantile,0.025,3653.4
2021-03-07,1 wk ahead inc case,2021-03-13,FR,quantile,0.025,137004
2021-03-07,1 wk ahead inc case,2021-03-13,DE,quantile,0.025,22830.5
2021-03-07,1 wk ahead inc case,2021-03-13,GR,quantile,0.025,9652.5
2021-03-07,1 wk ahead inc case,2021-03-13,HU,quantile,0.025,3456
2021-03-07,1 wk ahead inc case,2021-03-13,IS,quantile,0.025,5.7
2021-03-07,1 wk ahead inc case,2021-03-13,IE,quantile,0.025,2440.2
2021-03-07,1 wk ahead inc case,2021-03-13,IT,quantile,0.025,62095.2
2021-03-07,1 wk ahead inc case,2021-03-13,LV,quantile,0.025,4122.8
2021-03-07,1 wk ahead inc case,2021-03-13,LI,quantile,0.025,13.8
2021-03-07,1 wk ahead inc case,2021-03-13,LT,quantile,0.025,1025.4
2021-03-07,1 wk ahead inc case,2021-03-13,LU,quantile,0.025,470.3
2021-03-07,1 wk ahead inc case,2021-03-13,MT,quantile,0.025,554.3
2021-03-07,1 wk ahead inc case,2021-03-13,NL,quantile,0.025,19138.5
2021-03-07,1 wk ahead inc case,2021-03-13,NO,quantile,0.025,1086.1
2021-03-07,1 wk ahead inc case,2021-03-13,PL,quantile,0.025,29936
2021-03-07,1 wk ahead inc case,2021-03-13,PT,quantile,0.025,4065.4
2021-03-07,1 wk ahead inc case,2021-03-13,RO,quantile,0.025,15152.1
2021-03-07,1 wk ahead inc case,2021-03-13,SK,quantile,0.025,15337.5
2021-03-07,1 wk ahead inc case,2021-03-13,SI,quantile,0.025,3713.5
2021-03-07,1 wk ahead inc case,2021-03-13,ES,quantile,0.025,17791.1
2021-03-07,1 wk ahead inc case,2021-03-13,SE,quantile,0.025,5676.2
2021-03-07,1 wk ahead inc case,2021-03-13,CH,quantile,0.025,4447.8
2021-03-07,1 wk ahead inc case,2021-03-13,GB,quantile,0.025,31576.7
2021-03-07,2 wk ahead inc case,2021-03-20,AT,quantile,0.025,5011.4
2021-03-07,2 wk ahead inc case,2021-03-20,BE,quantile,0.025,11442.8
2021-03-07,2 wk ahead inc case,2021-03-20,BG,quantile,0.025,14879.8
2021-03-07,2 wk ahead inc case,2021-03-20,HR,quantile,0.025,1432.4
2021-03-07,2 wk ahead inc case,2021-03-20,CY,quantile,0.025,493.4
2021-03-07,2 wk ahead inc case,2021-03-20,CZ,quantile,0.025,41646.8
2021-03-07,2 wk ahead inc case,2021-03-20,DK,quantile,0.025,1760.5
2021-03-07,2 wk ahead inc case,2021-03-20,EE,quantile,0.025,4799.7
2021-03-07,2 wk ahead inc case,2021-03-20,FI,quantile,0.025,4206
2021-03-07,2 wk ahead inc case,2021-03-20,FR,quantile,0.025,131872
2021-03-07,2 wk ahead inc case,2021-03-20,DE,quantile,0.025,24564.5
2021-03-07,2 wk ahead inc case,2021-03-20,GR,quantile,0.025,11580.9
2021-03-07,2 wk ahead inc case,2021-03-20,HU,quantile,0.025,7312.6
2021-03-07,2 wk ahead inc case,2021-03-20,IS,quantile,0.025,5.7
2021-03-07,2 wk ahead inc case,2021-03-20,IE,quantile,0.025,2091.9
2021-03-07,2 wk ahead inc case,2021-03-20,IT,quantile,0.025,59750.4
2021-03-07,2 wk ahead inc case,2021-03-20,LV,quantile,0.025,3922.4
2021-03-07,2 wk ahead inc case,2021-03-20,LI,quantile,0.025,15.4
2021-03-07,2 wk ahead inc case,2021-03-20,LT,quantile,0.025,845.9
2021-03-07,2 wk ahead inc case,2021-03-20,LU,quantile,0.025,206.2
2021-03-07,2 wk ahead inc case,2021-03-20,MT,quantile,0.025,611.1
2021-03-07,2 wk ahead inc case,2021-03-20,NL,quantile,0.025,20062.2
2021-03-07,2 wk ahead inc case,2021-03-20,NO,quantile,0.025,1069.4
2021-03-07,2 wk ahead inc case,2021-03-20,PL,quantile,0.025,30949.4
2021-03-07,2 wk ahead inc case,2021-03-20,PT,quantile,0.025,3331.9
2021-03-07,2 wk ahead inc case,2021-03-20,RO,quantile,0.025,14736.7
2021-03-07,2 wk ahead inc case,2021-03-20,SK,quantile,0.025,16013
2021-03-07,2 wk ahead inc case,2021-03-20,SI,quantile,0.025,3758.4
2021-03-07,2 wk ahead inc case,2021-03-20,ES,quantile,0.025,9560.9
2021-03-07,2 wk ahead inc case,2021-03-20,SE,quantile,0.025,4954.7
2021-03-07,2 wk ahead inc case,2021-03-20,CH,quantile,0.025,3584.8
2021-03-07,2 wk ahead inc case,2021-03-20,GB,quantile,0.025,23530.6
2021-03-07,3 wk ahead inc case,2021-03-27,AT,quantile,0.025,5950.3
2021-03-07,3 wk ahead inc case,2021-03-27,BE,quantile,0.025,9763
2021-03-07,3 wk ahead inc case,2021-03-27,BG,quantile,0.025,18342.6
2021-03-07,3 wk ahead inc case,2021-03-27,HR,quantile,0.025,1601
2021-03-07,3 wk ahead inc case,2021-03-27,CY,quantile,0.025,423.4
2021-03-07,3 wk ahead inc case,2021-03-27,CZ,quantile,0.025,37893.6
2021-03-07,3 wk ahead inc case,2021-03-27,DK,quantile,0.025,1960.2
2021-03-07,3 wk ahead inc case,2021-03-27,EE,quantile,0.025,6424.8
2021-03-07,3 wk ahead inc case,2021-03-27,FI,quantile,0.025,4867.9
2021-03-07,3 wk ahead inc case,2021-03-27,FR,quantile,0.025,125161
2021-03-07,3 wk ahead inc case,2021-03-27,DE,quantile,0.025,25542.5
2021-03-07,3 wk ahead inc case,2021-03-27,GR,quantile,0.025,13981.8
2021-03-07,3 wk ahead inc case,2021-03-27,HU,quantile,0.025,11984.1
2021-03-07,3 wk ahead inc case,2021-03-27,IS,quantile,0.025,4.7
2021-03-07,3 wk ahead inc case,2021-03-27,IE,quantile,0.025,1779.8
2021-03-07,3 wk ahead inc case,2021-03-27,IT,quantile,0.025,57890.5
2021-03-07,3 wk ahead inc case,2021-03-27,LV,quantile,0.025,3733.7
2021-03-07,3 wk ahead inc case,2021-03-27,LI,quantile,0.025,18.8
2021-03-07,3 wk ahead inc case,2021-03-27,LT,quantile,0.025,679.8
2021-03-07,3 wk ahead inc case,2021-03-27,LU,quantile,0.025,0
2021-03-07,3 wk ahead inc case,2021-03-27,MT,quantile,0.025,669.4
2021-03-07,3 wk ahead inc case,2021-03-27,NL,quantile,0.025,21161.4
2021-03-07,3 wk ahead inc case,2021-03-27,NO,quantile,0.025,1056.3
2021-03-07,3 wk ahead inc case,2021-03-27,PL,quantile,0.025,31745.6
2021-03-07,3 wk ahead inc case,2021-03-27,PT,quantile,0.025,2709.5
2021-03-07,3 wk ahead inc case,2021-03-27,RO,quantile,0.025,14327.2
2021-03-07,3 wk ahead inc case,2021-03-27,SK,quantile,0.025,16638.5
2021-03-07,3 wk ahead inc case,2021-03-27,SI,quantile,0.025,3783.5
2021-03-07,3 wk ahead inc case,2021-03-27,ES,quantile,0.025,4564.2
2021-03-07,3 wk ahead inc case,2021-03-27,SE,quantile,0.025,4075.5
2021-03-07,3 wk ahead inc case,2021-03-27,CH,quantile,0.025,2859.2
2021-03-07,3 wk ahead inc case,2021-03-27,GB,quantile,0.025,17327.3
2021-03-07,4 wk ahead inc case,2021-04-03,AT,quantile,0.025,5602.5
2021-03-07,4 wk ahead inc case,2021-04-03,BE,quantile,0.025,8297.4
2021-03-07,4 wk ahead inc case,2021-04-03,BG,quantile,0.025,21980.1
2021-03-07,4 wk ahead inc case,2021-04-03,HR,quantile,0.025,1567.2
2021-03-07,4 wk ahead inc case,2021-04-03,CY,quantile,0.025,379.2
2021-03-07,4 wk ahead inc case,2021-04-03,CZ,quantile,0.025,31864.2
2021-03-07,4 wk ahead inc case,2021-04-03,DK,quantile,0.025,2144.6
2021-03-07,4 wk ahead inc case,2021-04-03,EE,quantile,0.025,7349.4
2021-03-07,4 wk ahead inc case,2021-04-03,FI,quantile,0.025,5397.1
2021-03-07,4 wk ahead inc case,2021-04-03,FR,quantile,0.025,117753
2021-03-07,4 wk ahead inc case,2021-04-03,DE,quantile,0.025,24058.6
2021-03-07,4 wk ahead inc case,2021-04-03,GR,quantile,0.025,15503.7
2021-03-07,4 wk ahead inc case,2021-04-03,HU,quantile,0.025,13026.1
2021-03-07,4 wk ahead inc case,2021-04-03,IS,quantile,0.025,4.7
2021-03-07,4 wk ahead inc case,2021-04-03,IE,quantile,0.025,1571.1
2021-03-07,4 wk ahead inc case,2021-04-03,IT,quantile,0.025,54501
2021-03-07,4 wk ahead inc case,2021-04-03,LV,quantile,0.025,3512.6
2021-03-07,4 wk ahead inc case,2021-04-03,LI,quantile,0.025,20.7
2021-03-07,4 wk ahead inc case,2021-04-03,LT,quantile,0.025,513.2
2021-03-07,4 wk ahead inc case,2021-04-03,LU,quantile,0.025,0
2021-03-07,4 wk ahead inc case,2021-04-03,MT,quantile,0.025,612.5
2021-03-07,4 wk ahead inc case,2021-04-03,NL,quantile,0.025,21633
2021-03-07,4 wk ahead inc case,2021-04-03,NO,quantile,0.025,974.1
2021-03-07,4 wk ahead inc case,2021-04-03,PL,quantile,0.025,30585
2021-03-07,4 wk ahead inc case,2021-04-03,PT,quantile,0.025,2395.9
2021-03-07,4 wk ahead inc case,2021-04-03,RO,quantile,0.025,13565.9
2021-03-07,4 wk ahead inc case,2021-04-03,SK,quantile,0.025,17031.3
2021-03-07,4 wk ahead inc case,2021-04-03,SI,quantile,0.025,3788.6
2021-03-07,4 wk ahead inc case,2021-04-03,ES,quantile,0.025,2478.5
2021-03-07,4 wk ahead inc case,2021-04-03,SE,quantile,0.025,3278.1
2021-03-07,4 wk ahead inc case,2021-04-03,CH,quantile,0.025,2261.3
2021-03-07,4 wk ahead inc case,2021-04-03,GB,quantile,0.025,13128.5
2021-03-07,5 wk ahead inc case,2021-04-10,AT,quantile,0.025,5395.2
2021-03-07,5 wk ahead inc case,2021-04-10,BE,quantile,0.025,7059.1
2021-03-07,5 wk ahead inc case,2021-04-10,BG,quantile,0.025,26982.3
2021-03-07,5 wk ahead inc case,2021-04-10,HR,quantile,0.025,1563.8
2021-03-07,5 wk ahead inc case,2021-04-10,CY,quantile,0.025,336.5
2021-03-07,5 wk ahead inc case,2021-04-10,CZ,quantile,0.025,25477.5
2021-03-07,5 wk ahead inc case,2021-04-10,DK,quantile,0.025,2363.6
2021-03-07,5 wk ahead inc case,2021-04-10,EE,quantile,0.025,8586.7
2021-03-07,5 wk ahead inc case,2021-04-10,FI,quantile,0.025,5997.6
2021-03-07,5 wk ahead inc case,2021-04-10,FR,quantile,0.025,110464
2021-03-07,5 wk ahead inc case,2021-04-10,DE,quantile,0.025,25391.6
2021-03-07,5 wk ahead inc case,2021-04-10,GR,quantile,0.025,17165.3
2021-03-07,5 wk ahead inc case,2021-04-10,HU,quantile,0.025,14258.7
2021-03-07,5 wk ahead inc case,2021-04-10,IS,quantile,0.025,4.8
2021-03-07,5 wk ahead inc case,2021-04-10,IE,quantile,0.025,1395.7
2021-03-07,5 wk ahead inc case,2021-04-10,IT,quantile,0.025,51214.2
2021-03-07,5 wk ahead inc case,2021-04-10,LV,quantile,0.025,3300.8
2021-03-07,5 wk ahead inc case,2021-04-10,LI,quantile,0.025,23.5
2021-03-07,5 wk ahead inc case,2021-04-10,LT,quantile,0.025,386.8
2021-03-07,5 wk ahead inc case,2021-04-10,LU,quantile,0.025,0
2021-03-07,5 wk ahead inc case,2021-04-10,MT,quantile,0.025,570.7
2021-03-07,5 wk ahead inc case,2021-04-10,NL,quantile,0.025,22286.5
2021-03-07,5 wk ahead inc case,2021-04-10,NO,quantile,0.025,896.8
2021-03-07,5 wk ahead inc case,2021-04-10,PL,quantile,0.025,29375.3
2021-03-07,5 wk ahead inc case,2021-04-10,PT,quantile,0.025,2074.5
2021-03-07,5 wk ahead inc case,2021-04-10,RO,quantile,0.025,12858.9
2021-03-07,5 wk ahead inc case,2021-04-10,SK,quantile,0.025,17367.6
2021-03-07,5 wk ahead inc case,2021-04-10,SI,quantile,0.025,3801.2
2021-03-07,5 wk ahead inc case,2021-04-10,ES,quantile,0.025,1334
2021-03-07,5 wk ahead inc case,2021-04-10,SE,quantile,0.025,2671
2021-03-07,5 wk ahead inc case,2021-04-10,CH,quantile,0.025,1787.7
2021-03-07,5 wk ahead inc case,2021-04-10,GB,quantile,0.025,9971.4
2021-03-07,1 wk ahead inc case,2021-03-13,AT,quantile,0.050,4276.1
2021-03-07,1 wk ahead inc case,2021-03-13,BE,quantile,0.050,13492.4
2021-03-07,1 wk ahead inc case,2021-03-13,BG,quantile,0.050,11318.6
2021-03-07,1 wk ahead inc case,2021-03-13,HR,quantile,0.050,1296.2
2021-03-07,1 wk ahead inc case,2021-03-13,CY,quantile,0.050,578
2021-03-07,1 wk ahead inc case,2021-03-13,CZ,quantile,0.050,45711.5
2021-03-07,1 wk ahead inc case,2021-03-13,DK,quantile,0.050,1591.3
2021-03-07,1 wk ahead inc case,2021-03-13,EE,quantile,0.050,3545
2021-03-07,1 wk ahead inc case,2021-03-13,FI,quantile,0.050,3661.7
2021-03-07,1 wk ahead inc case,2021-03-13,FR,quantile,0.050,137708
2021-03-07,1 wk ahead inc case,2021-03-13,DE,quantile,0.050,22920.7
2021-03-07,1 wk ahead inc case,2021-03-13,GR,quantile,0.050,9683.9
2021-03-07,1 wk ahead inc case,2021-03-13,HU,quantile,0.050,3577.9
2021-03-07,1 wk ahead inc case,2021-03-13,IS,quantile,0.050,5.8
2021-03-07,1 wk ahead inc case,2021-03-13,IE,quantile,0.050,2474.6
2021-03-07,1 wk ahead inc case,2021-03-13,IT,quantile,0.050,62536.8
2021-03-07,1 wk ahead inc case,2021-03-13,LV,quantile,0.050,4153.4
2021-03-07,1 wk ahead inc case,2021-03-13,LI,quantile,0.050,13.9
2021-03-07,1 wk ahead inc case,2021-03-13,LT,quantile,0.050,1032.7
2021-03-07,1 wk ahead inc case,2021-03-13,LU,quantile,0.050,474.7
2021-03-07,1 wk ahead inc case,2021-03-13,MT,quantile,0.050,565.4
2021-03-07,1 wk ahead inc case,2021-03-13,NL,quantile,0.050,19244.3
2021-03-07,1 wk ahead inc case,2021-03-13,NO,quantile,0.050,1089.5
2021-03-07,1 wk ahead inc case,2021-03-13,PL,quantile,0.050,30227.7
