forecast_date,location,target,target_end_date,type,scenario_id,quantile,value
2021-10-25,AT,1 wk ahead inc death,2021-10-30,point,forecast,NA,89
2021-10-25,AT,2 wk ahead inc death,2021-11-06,point,forecast,NA,91
2021-10-25,AT,3 wk ahead inc death,2021-11-13,point,forecast,NA,88
2021-10-25,AT,4 wk ahead inc death,2021-11-20,point,forecast,NA,86
2021-10-25,BE,1 wk ahead inc death,2021-10-30,point,forecast,NA,101
2021-10-25,BE,2 wk ahead inc death,2021-11-06,point,forecast,NA,106
2021-10-25,BE,3 wk ahead inc death,2021-11-13,point,forecast,NA,103
2021-10-25,BE,4 wk ahead inc death,2021-11-20,point,forecast,NA,100
2021-10-25,BG,1 wk ahead inc death,2021-10-30,point,forecast,NA,782
2021-10-25,BG,2 wk ahead inc death,2021-11-06,point,forecast,NA,769
2021-10-25,BG,3 wk ahead inc death,2021-11-13,point,forecast,NA,745
2021-10-25,BG,4 wk ahead inc death,2021-11-20,point,forecast,NA,689
2021-10-25,CH,1 wk ahead inc death,2021-10-30,point,forecast,NA,24
2021-10-25,CH,2 wk ahead inc death,2021-11-06,point,forecast,NA,22
2021-10-25,CH,3 wk ahead inc death,2021-11-13,point,forecast,NA,20
2021-10-25,CH,4 wk ahead inc death,2021-11-20,point,forecast,NA,18
2021-10-25,CY,1 wk ahead inc death,2021-10-30,point,forecast,NA,6
2021-10-25,CY,2 wk ahead inc death,2021-11-06,point,forecast,NA,6
2021-10-25,CY,3 wk ahead inc death,2021-11-13,point,forecast,NA,5
2021-10-25,CY,4 wk ahead inc death,2021-11-20,point,forecast,NA,6
2021-10-25,CZ,1 wk ahead inc death,2021-10-30,point,forecast,NA,82
2021-10-25,CZ,2 wk ahead inc death,2021-11-06,point,forecast,NA,87
2021-10-25,CZ,3 wk ahead inc death,2021-11-13,point,forecast,NA,90
2021-10-25,CZ,4 wk ahead inc death,2021-11-20,point,forecast,NA,88
2021-10-25,DE,1 wk ahead inc death,2021-10-30,point,forecast,NA,534
2021-10-25,DE,2 wk ahead inc death,2021-11-06,point,forecast,NA,599
2021-10-25,DE,3 wk ahead inc death,2021-11-13,point,forecast,NA,637
2021-10-25,DE,4 wk ahead inc death,2021-11-20,point,forecast,NA,652
2021-10-25,DK,1 wk ahead inc death,2021-10-30,point,forecast,NA,15
2021-10-25,DK,2 wk ahead inc death,2021-11-06,point,forecast,NA,16
2021-10-25,DK,3 wk ahead inc death,2021-11-13,point,forecast,NA,15
2021-10-25,DK,4 wk ahead inc death,2021-11-20,point,forecast,NA,14
2021-10-25,EE,1 wk ahead inc death,2021-10-30,point,forecast,NA,34
2021-10-25,EE,2 wk ahead inc death,2021-11-06,point,forecast,NA,35
2021-10-25,EE,3 wk ahead inc death,2021-11-13,point,forecast,NA,34
2021-10-25,EE,4 wk ahead inc death,2021-11-20,point,forecast,NA,31
2021-10-25,ES,1 wk ahead inc death,2021-10-30,point,forecast,NA,127
2021-10-25,ES,2 wk ahead inc death,2021-11-06,point,forecast,NA,116
2021-10-25,ES,3 wk ahead inc death,2021-11-13,point,forecast,NA,104
2021-10-25,ES,4 wk ahead inc death,2021-11-20,point,forecast,NA,106
2021-10-25,FI,1 wk ahead inc death,2021-10-30,point,forecast,NA,24
2021-10-25,FI,2 wk ahead inc death,2021-11-06,point,forecast,NA,23
2021-10-25,FI,3 wk ahead inc death,2021-11-13,point,forecast,NA,23
2021-10-25,FI,4 wk ahead inc death,2021-11-20,point,forecast,NA,21
2021-10-25,FR,1 wk ahead inc death,2021-10-30,point,forecast,NA,165
2021-10-25,FR,2 wk ahead inc death,2021-11-06,point,forecast,NA,177
2021-10-25,FR,3 wk ahead inc death,2021-11-13,point,forecast,NA,166
2021-10-25,FR,4 wk ahead inc death,2021-11-20,point,forecast,NA,170
2021-10-25,GB,1 wk ahead inc death,2021-10-30,point,forecast,NA,952
2021-10-25,GB,2 wk ahead inc death,2021-11-06,point,forecast,NA,960
2021-10-25,GB,3 wk ahead inc death,2021-11-13,point,forecast,NA,929
2021-10-25,GB,4 wk ahead inc death,2021-11-20,point,forecast,NA,904
2021-10-25,GR,1 wk ahead inc death,2021-10-30,point,forecast,NA,262
2021-10-25,GR,2 wk ahead inc death,2021-11-06,point,forecast,NA,267
2021-10-25,GR,3 wk ahead inc death,2021-11-13,point,forecast,NA,261
2021-10-25,GR,4 wk ahead inc death,2021-11-20,point,forecast,NA,254
2021-10-25,HR,1 wk ahead inc death,2021-10-30,point,forecast,NA,138
2021-10-25,HR,2 wk ahead inc death,2021-11-06,point,forecast,NA,139
2021-10-25,HR,3 wk ahead inc death,2021-11-13,point,forecast,NA,135
2021-10-25,HR,4 wk ahead inc death,2021-11-20,point,forecast,NA,129
2021-10-25,HU,1 wk ahead inc death,2021-10-30,point,forecast,NA,134
2021-10-25,HU,2 wk ahead inc death,2021-11-06,point,forecast,NA,140
2021-10-25,HU,3 wk ahead inc death,2021-11-13,point,forecast,NA,137
2021-10-25,HU,4 wk ahead inc death,2021-11-20,point,forecast,NA,131
2021-10-25,IE,1 wk ahead inc death,2021-10-30,point,forecast,NA,69
2021-10-25,IE,2 wk ahead inc death,2021-11-06,point,forecast,NA,73
2021-10-25,IE,3 wk ahead inc death,2021-11-13,point,forecast,NA,73
2021-10-25,IE,4 wk ahead inc death,2021-11-20,point,forecast,NA,72
2021-10-25,IS,1 wk ahead inc death,2021-10-30,point,forecast,NA,0
2021-10-25,IS,2 wk ahead inc death,2021-11-06,point,forecast,NA,0
2021-10-25,IS,3 wk ahead inc death,2021-11-13,point,forecast,NA,1
2021-10-25,IS,4 wk ahead inc death,2021-11-20,point,forecast,NA,1
2021-10-25,IT,1 wk ahead inc death,2021-10-30,point,forecast,NA,273
2021-10-25,IT,2 wk ahead inc death,2021-11-06,point,forecast,NA,269
2021-10-25,IT,3 wk ahead inc death,2021-11-13,point,forecast,NA,259
2021-10-25,IT,4 wk ahead inc death,2021-11-20,point,forecast,NA,253
2021-10-25,LI,1 wk ahead inc death,2021-10-30,point,forecast,NA,0
2021-10-25,LI,2 wk ahead inc death,2021-11-06,point,forecast,NA,0
2021-10-25,LI,3 wk ahead inc death,2021-11-13,point,forecast,NA,0
2021-10-25,LI,4 wk ahead inc death,2021-11-20,point,forecast,NA,0
2021-10-25,LT,1 wk ahead inc death,2021-10-30,point,forecast,NA,197
2021-10-25,LT,2 wk ahead inc death,2021-11-06,point,forecast,NA,188
2021-10-25,LT,3 wk ahead inc death,2021-11-13,point,forecast,NA,179
2021-10-25,LT,4 wk ahead inc death,2021-11-20,point,forecast,NA,164
2021-10-25,LU,1 wk ahead inc death,2021-10-30,point,forecast,NA,3
2021-10-25,LU,2 wk ahead inc death,2021-11-06,point,forecast,NA,3
2021-10-25,LU,3 wk ahead inc death,2021-11-13,point,forecast,NA,3
2021-10-25,LU,4 wk ahead inc death,2021-11-20,point,forecast,NA,3
2021-10-25,LV,1 wk ahead inc death,2021-10-30,point,forecast,NA,155
2021-10-25,LV,2 wk ahead inc death,2021-11-06,point,forecast,NA,160
2021-10-25,LV,3 wk ahead inc death,2021-11-13,point,forecast,NA,157
2021-10-25,LV,4 wk ahead inc death,2021-11-20,point,forecast,NA,147
2021-10-25,MT,1 wk ahead inc death,2021-10-30,point,forecast,NA,0
2021-10-25,MT,2 wk ahead inc death,2021-11-06,point,forecast,NA,0
2021-10-25,MT,3 wk ahead inc death,2021-11-13,point,forecast,NA,0
2021-10-25,MT,4 wk ahead inc death,2021-11-20,point,forecast,NA,0
2021-10-25,NL,1 wk ahead inc death,2021-10-30,point,forecast,NA,83
2021-10-25,NL,2 wk ahead inc death,2021-11-06,point,forecast,NA,92
2021-10-25,NL,3 wk ahead inc death,2021-11-13,point,forecast,NA,96
2021-10-25,NL,4 wk ahead inc death,2021-11-20,point,forecast,NA,96
2021-10-25,NO,1 wk ahead inc death,2021-10-30,point,forecast,NA,11
2021-10-25,NO,2 wk ahead inc death,2021-11-06,point,forecast,NA,12
