forecast_date,target,target_end_date,location,type,quantile,value
2021-05-24,1 wk ahead inc case,2021-05-29,AT,point,NA,3189
2021-05-24,1 wk ahead inc case,2021-05-29,BE,point,NA,15515
2021-05-24,1 wk ahead inc case,2021-05-29,BG,point,NA,1130
2021-05-24,1 wk ahead inc case,2021-05-29,CY,point,NA,405
2021-05-24,1 wk ahead inc case,2021-05-29,CZ,point,NA,3855
2021-05-24,1 wk ahead inc case,2021-05-29,DE,point,NA,44327
2021-05-24,1 wk ahead inc case,2021-05-29,DK,point,NA,7705
2021-05-24,1 wk ahead inc case,2021-05-29,EE,point,NA,1221
2021-05-24,1 wk ahead inc case,2021-05-29,ES,point,NA,24774
2021-05-24,1 wk ahead inc case,2021-05-29,FI,point,NA,1378
2021-05-24,1 wk ahead inc case,2021-05-29,GB,point,NA,14106
2021-05-24,1 wk ahead inc case,2021-05-29,GR,point,NA,11936
2021-05-24,1 wk ahead inc case,2021-05-29,HR,point,NA,2725
2021-05-24,1 wk ahead inc case,2021-05-29,HU,point,NA,2699
2021-05-24,1 wk ahead inc case,2021-05-29,IS,point,NA,11
2021-05-24,1 wk ahead inc case,2021-05-29,IT,point,NA,25980
2021-05-24,1 wk ahead inc case,2021-05-29,LI,point,NA,7
2021-05-24,1 wk ahead inc case,2021-05-29,LT,point,NA,5844
2021-05-24,1 wk ahead inc case,2021-05-29,LU,point,NA,563
2021-05-24,1 wk ahead inc case,2021-05-29,MT,point,NA,13
2021-05-24,1 wk ahead inc case,2021-05-29,PL,point,NA,6647
2021-05-24,1 wk ahead inc case,2021-05-29,PT,point,NA,2869
2021-05-24,1 wk ahead inc case,2021-05-29,RO,point,NA,2239
2021-05-24,1 wk ahead inc case,2021-05-29,SE,point,NA,20410
2021-05-24,1 wk ahead inc case,2021-05-29,SK,point,NA,1130
2021-05-24,2 wk ahead inc case,2021-06-05,AT,point,NA,2402
2021-05-24,2 wk ahead inc case,2021-06-05,BE,point,NA,14256
2021-05-24,2 wk ahead inc case,2021-06-05,BG,point,NA,730
2021-05-24,2 wk ahead inc case,2021-06-05,CY,point,NA,142
2021-05-24,2 wk ahead inc case,2021-06-05,CZ,point,NA,2742
2021-05-24,2 wk ahead inc case,2021-06-05,DE,point,NA,33884
2021-05-24,2 wk ahead inc case,2021-06-05,DK,point,NA,7679
2021-05-24,2 wk ahead inc case,2021-06-05,EE,point,NA,904
2021-05-24,2 wk ahead inc case,2021-06-05,ES,point,NA,19824
2021-05-24,2 wk ahead inc case,2021-06-05,FI,point,NA,1420
2021-05-24,2 wk ahead inc case,2021-06-05,GB,point,NA,13576
2021-05-24,2 wk ahead inc case,2021-06-05,GR,point,NA,10808
2021-05-24,2 wk ahead inc case,2021-06-05,HR,point,NA,1474
2021-05-24,2 wk ahead inc case,2021-06-05,HU,point,NA,1889
2021-05-24,2 wk ahead inc case,2021-06-05,IS,point,NA,7
2021-05-24,2 wk ahead inc case,2021-06-05,IT,point,NA,17587
2021-05-24,2 wk ahead inc case,2021-06-05,LI,point,NA,4
2021-05-24,2 wk ahead inc case,2021-06-05,LT,point,NA,5524
2021-05-24,2 wk ahead inc case,2021-06-05,LU,point,NA,479
2021-05-24,2 wk ahead inc case,2021-06-05,MT,point,NA,6
2021-05-24,2 wk ahead inc case,2021-06-05,PL,point,NA,3945
2021-05-24,2 wk ahead inc case,2021-06-05,PT,point,NA,3114
2021-05-24,2 wk ahead inc case,2021-06-05,RO,point,NA,1432
2021-05-24,2 wk ahead inc case,2021-06-05,SE,point,NA,17244
2021-05-24,2 wk ahead inc case,2021-06-05,SK,point,NA,852
2021-05-24,3 wk ahead inc case,2021-06-12,AT,point,NA,1815
2021-05-24,3 wk ahead inc case,2021-06-12,BE,point,NA,13096
2021-05-24,3 wk ahead inc case,2021-06-12,BG,point,NA,696
2021-05-24,3 wk ahead inc case,2021-06-12,CY,point,NA,42
2021-05-24,3 wk ahead inc case,2021-06-12,CZ,point,NA,1908
2021-05-24,3 wk ahead inc case,2021-06-12,DE,point,NA,26630
2021-05-24,3 wk ahead inc case,2021-06-12,DK,point,NA,7468
2021-05-24,3 wk ahead inc case,2021-06-12,EE,point,NA,756
2021-05-24,3 wk ahead inc case,2021-06-12,ES,point,NA,15844
2021-05-24,3 wk ahead inc case,2021-06-12,FI,point,NA,1446
2021-05-24,3 wk ahead inc case,2021-06-12,GB,point,NA,12676
2021-05-24,3 wk ahead inc case,2021-06-12,GR,point,NA,9755
2021-05-24,3 wk ahead inc case,2021-06-12,HR,point,NA,733
2021-05-24,3 wk ahead inc case,2021-06-12,HU,point,NA,1456
2021-05-24,3 wk ahead inc case,2021-06-12,IS,point,NA,5
2021-05-24,3 wk ahead inc case,2021-06-12,IT,point,NA,14315
2021-05-24,3 wk ahead inc case,2021-06-12,LI,point,NA,3
2021-05-24,3 wk ahead inc case,2021-06-12,LT,point,NA,5324
2021-05-24,3 wk ahead inc case,2021-06-12,LU,point,NA,411
2021-05-24,3 wk ahead inc case,2021-06-12,MT,point,NA,3
2021-05-24,3 wk ahead inc case,2021-06-12,PL,point,NA,2879
2021-05-24,3 wk ahead inc case,2021-06-12,PT,point,NA,3316
2021-05-24,3 wk ahead inc case,2021-06-12,RO,point,NA,1135
2021-05-24,3 wk ahead inc case,2021-06-12,SE,point,NA,14486
2021-05-24,3 wk ahead inc case,2021-06-12,SK,point,NA,643
2021-05-24,4 wk ahead inc case,2021-06-19,AT,point,NA,1530
2021-05-24,4 wk ahead inc case,2021-06-19,BE,point,NA,12028
2021-05-24,4 wk ahead inc case,2021-06-19,BG,point,NA,469
2021-05-24,4 wk ahead inc case,2021-06-19,CY,point,NA,11
2021-05-24,4 wk ahead inc case,2021-06-19,CZ,point,NA,1328
2021-05-24,4 wk ahead inc case,2021-06-19,DE,point,NA,21418
2021-05-24,4 wk ahead inc case,2021-06-19,DK,point,NA,7201
2021-05-24,4 wk ahead inc case,2021-06-19,EE,point,NA,849
2021-05-24,4 wk ahead inc case,2021-06-19,ES,point,NA,12720
2021-05-24,4 wk ahead inc case,2021-06-19,FI,point,NA,1463
2021-05-24,4 wk ahead inc case,2021-06-19,GB,point,NA,11986
2021-05-24,4 wk ahead inc case,2021-06-19,GR,point,NA,8782
2021-05-24,4 wk ahead inc case,2021-06-19,HR,point,NA,491
2021-05-24,4 wk ahead inc case,2021-06-19,HU,point,NA,1198
2021-05-24,4 wk ahead inc case,2021-06-19,IS,point,NA,4
2021-05-24,4 wk ahead inc case,2021-06-19,IT,point,NA,12413
2021-05-24,4 wk ahead inc case,2021-06-19,LI,point,NA,2
2021-05-24,4 wk ahead inc case,2021-06-19,LT,point,NA,5036
2021-05-24,4 wk ahead inc case,2021-06-19,LU,point,NA,355
2021-05-24,4 wk ahead inc case,2021-06-19,MT,point,NA,3
2021-05-24,4 wk ahead inc case,2021-06-19,PL,point,NA,2296
2021-05-24,4 wk ahead inc case,2021-06-19,PT,point,NA,3466
2021-05-24,4 wk ahead inc case,2021-06-19,RO,point,NA,1216
2021-05-24,4 wk ahead inc case,2021-06-19,SE,point,NA,12114
2021-05-24,4 wk ahead inc case,2021-06-19,SK,point,NA,553
