location,target,type,quantile,target_end_date,forecast_date,scenario_id,value
DE,1 wk ahead inc case,point,NA,2021-05-29,2021-05-24,forecast,46940
DE,1 wk ahead inc case,quantile,0.01,2021-05-29,2021-05-24,forecast,20171
DE,1 wk ahead inc case,quantile,0.025,2021-05-29,2021-05-24,forecast,23464
DE,1 wk ahead inc case,quantile,0.05,2021-05-29,2021-05-24,forecast,26621
DE,1 wk ahead inc case,quantile,0.1,2021-05-29,2021-05-24,forecast,30502
DE,1 wk ahead inc case,quantile,0.15,2021-05-29,2021-05-24,forecast,33540
DE,1 wk ahead inc case,quantile,0.2,2021-05-29,2021-05-24,forecast,35896
DE,1 wk ahead inc case,quantile,0.25,2021-05-29,2021-05-24,forecast,38090
DE,1 wk ahead inc case,quantile,0.3,2021-05-29,2021-05-24,forecast,39845
DE,1 wk ahead inc case,quantile,0.35,2021-05-29,2021-05-24,forecast,41735
DE,1 wk ahead inc case,quantile,0.4,2021-05-29,2021-05-24,forecast,43424
DE,1 wk ahead inc case,quantile,0.45,2021-05-29,2021-05-24,forecast,44949
DE,1 wk ahead inc case,quantile,0.5,2021-05-29,2021-05-24,forecast,46940
DE,1 wk ahead inc case,quantile,0.55,2021-05-29,2021-05-24,forecast,48852
DE,1 wk ahead inc case,quantile,0.6,2021-05-29,2021-05-24,forecast,51067
DE,1 wk ahead inc case,quantile,0.65,2021-05-29,2021-05-24,forecast,53074
DE,1 wk ahead inc case,quantile,0.7,2021-05-29,2021-05-24,forecast,55436
DE,1 wk ahead inc case,quantile,0.75,2021-05-29,2021-05-24,forecast,57886
DE,1 wk ahead inc case,quantile,0.8,2021-05-29,2021-05-24,forecast,61069
DE,1 wk ahead inc case,quantile,0.85,2021-05-29,2021-05-24,forecast,64968
DE,1 wk ahead inc case,quantile,0.9,2021-05-29,2021-05-24,forecast,70331
DE,1 wk ahead inc case,quantile,0.95,2021-05-29,2021-05-24,forecast,78178
DE,1 wk ahead inc case,quantile,0.975,2021-05-29,2021-05-24,forecast,86991
DE,1 wk ahead inc case,quantile,0.99,2021-05-29,2021-05-24,forecast,96899
DE,1 wk ahead inc death,point,NA,2021-05-29,2021-05-24,forecast,912
DE,1 wk ahead inc death,quantile,0.01,2021-05-29,2021-05-24,forecast,536
DE,1 wk ahead inc death,quantile,0.025,2021-05-29,2021-05-24,forecast,588
DE,1 wk ahead inc death,quantile,0.05,2021-05-29,2021-05-24,forecast,646
DE,1 wk ahead inc death,quantile,0.1,2021-05-29,2021-05-24,forecast,705
DE,1 wk ahead inc death,quantile,0.15,2021-05-29,2021-05-24,forecast,743
DE,1 wk ahead inc death,quantile,0.2,2021-05-29,2021-05-24,forecast,774
DE,1 wk ahead inc death,quantile,0.25,2021-05-29,2021-05-24,forecast,800
DE,1 wk ahead inc death,quantile,0.3,2021-05-29,2021-05-24,forecast,824
DE,1 wk ahead inc death,quantile,0.35,2021-05-29,2021-05-24,forecast,846
DE,1 wk ahead inc death,quantile,0.4,2021-05-29,2021-05-24,forecast,867
DE,1 wk ahead inc death,quantile,0.45,2021-05-29,2021-05-24,forecast,890
DE,1 wk ahead inc death,quantile,0.5,2021-05-29,2021-05-24,forecast,912
DE,1 wk ahead inc death,quantile,0.55,2021-05-29,2021-05-24,forecast,935
DE,1 wk ahead inc death,quantile,0.6,2021-05-29,2021-05-24,forecast,960
