forecast_date,target,target_end_date,location,type,quantile,value
2023-05-01,-2 wk ahead NA,2023-04-15,AT,point,NA,27
2023-05-01,-1 wk ahead NA,2023-04-22,AT,point,NA,27
2023-05-01,0 wk ahead NA,2023-04-29,AT,point,NA,27
2023-05-01,1 wk ahead NA,2023-05-06,AT,point,NA,27
2023-05-01,2 wk ahead NA,2023-05-13,AT,point,NA,27
2023-05-01,3 wk ahead NA,2023-05-20,AT,point,NA,27
2023-05-01,4 wk ahead NA,2023-05-27,AT,point,NA,27
2023-05-01,-1 wk ahead NA,2023-04-22,BE,point,NA,444
2023-05-01,0 wk ahead NA,2023-04-29,BE,point,NA,444
2023-05-01,1 wk ahead NA,2023-05-06,BE,point,NA,444
2023-05-01,2 wk ahead NA,2023-05-13,BE,point,NA,444
2023-05-01,3 wk ahead NA,2023-05-20,BE,point,NA,444
2023-05-01,4 wk ahead NA,2023-05-27,BE,point,NA,444
2023-05-01,1 wk ahead NA,2023-05-06,BG,point,NA,18
2023-05-01,2 wk ahead NA,2023-05-13,BG,point,NA,18
2023-05-01,3 wk ahead NA,2023-05-20,BG,point,NA,18
2023-05-01,4 wk ahead NA,2023-05-27,BG,point,NA,18
2023-05-01,-1 wk ahead NA,2023-04-22,CY,point,NA,1
2023-05-01,0 wk ahead NA,2023-04-29,CY,point,NA,1
2023-05-01,1 wk ahead NA,2023-05-06,CY,point,NA,1
2023-05-01,2 wk ahead NA,2023-05-13,CY,point,NA,1
2023-05-01,3 wk ahead NA,2023-05-20,CY,point,NA,1
2023-05-01,4 wk ahead NA,2023-05-27,CY,point,NA,1
2023-05-01,-2 wk ahead NA,2023-04-15,CZ,point,NA,480
2023-05-01,-1 wk ahead NA,2023-04-22,CZ,point,NA,480
2023-05-01,0 wk ahead NA,2023-04-29,CZ,point,NA,480
2023-05-01,1 wk ahead NA,2023-05-06,CZ,point,NA,480
2023-05-01,2 wk ahead NA,2023-05-13,CZ,point,NA,480
2023-05-01,3 wk ahead NA,2023-05-20,CZ,point,NA,480
2023-05-01,4 wk ahead NA,2023-05-27,CZ,point,NA,480
2023-05-01,-5 wk ahead NA,2023-03-25,DE,point,NA,3199
2023-05-01,-4 wk ahead NA,2023-04-01,DE,point,NA,3199
2023-05-01,-3 wk ahead NA,2023-04-08,DE,point,NA,3199
2023-05-01,-2 wk ahead NA,2023-04-15,DE,point,NA,3199
2023-05-01,-1 wk ahead NA,2023-04-22,DE,point,NA,3199
2023-05-01,0 wk ahead NA,2023-04-29,DE,point,NA,3199
2023-05-01,1 wk ahead NA,2023-05-06,DE,point,NA,3199
2023-05-01,2 wk ahead NA,2023-05-13,DE,point,NA,3199
2023-05-01,3 wk ahead NA,2023-05-20,DE,point,NA,3199
2023-05-01,4 wk ahead NA,2023-05-27,DE,point,NA,3199
2023-05-01,-5 wk ahead NA,2023-03-25,DK,point,NA,376
2023-05-01,-4 wk ahead NA,2023-04-01,DK,point,NA,376
2023-05-01,-3 wk ahead NA,2023-04-08,DK,point,NA,376
2023-05-01,-2 wk ahead NA,2023-04-15,DK,point,NA,376
2023-05-01,-1 wk ahead NA,2023-04-22,DK,point,NA,376
2023-05-01,0 wk ahead NA,2023-04-29,DK,point,NA,376
2023-05-01,1 wk ahead NA,2023-05-06,DK,point,NA,376
2023-05-01,2 wk ahead NA,2023-05-13,DK,point,NA,376
2023-05-01,3 wk ahead NA,2023-05-20,DK,point,NA,376
2023-05-01,4 wk ahead NA,2023-05-27,DK,point,NA,376
2023-05-01,1 wk ahead NA,2023-05-06,EE,point,NA,142
2023-05-01,2 wk ahead NA,2023-05-13,EE,point,NA,142
2023-05-01,3 wk ahead NA,2023-05-20,EE,point,NA,142
2023-05-01,4 wk ahead NA,2023-05-27,EE,point,NA,142
2023-05-01,-2 wk ahead NA,2023-04-15,ES,point,NA,2073
2023-05-01,-1 wk ahead NA,2023-04-22,ES,point,NA,2073
2023-05-01,0 wk ahead NA,2023-04-29,ES,point,NA,2073
2023-05-01,1 wk ahead NA,2023-05-06,ES,point,NA,2073
2023-05-01,2 wk ahead NA,2023-05-13,ES,point,NA,2073
2023-05-01,3 wk ahead NA,2023-05-20,ES,point,NA,2073
2023-05-01,4 wk ahead NA,2023-05-27,ES,point,NA,2073
2023-05-01,-3 wk ahead NA,2023-04-08,FI,point,NA,45
2023-05-01,-2 wk ahead NA,2023-04-15,FI,point,NA,45
2023-05-01,-1 wk ahead NA,2023-04-22,FI,point,NA,45
2023-05-01,0 wk ahead NA,2023-04-29,FI,point,NA,45
2023-05-01,1 wk ahead NA,2023-05-06,FI,point,NA,45
2023-05-01,2 wk ahead NA,2023-05-13,FI,point,NA,45
2023-05-01,3 wk ahead NA,2023-05-20,FI,point,NA,45
2023-05-01,4 wk ahead NA,2023-05-27,FI,point,NA,45
2023-05-01,1 wk ahead NA,2023-05-06,FR,point,NA,2905
2023-05-01,2 wk ahead NA,2023-05-13,FR,point,NA,2905
2023-05-01,3 wk ahead NA,2023-05-20,FR,point,NA,2905
2023-05-01,4 wk ahead NA,2023-05-27,FR,point,NA,2905
2023-05-01,0 wk ahead NA,2023-04-29,GR,point,NA,807
2023-05-01,1 wk ahead NA,2023-05-06,GR,point,NA,807
2023-05-01,2 wk ahead NA,2023-05-13,GR,point,NA,807
2023-05-01,3 wk ahead NA,2023-05-20,GR,point,NA,807
2023-05-01,4 wk ahead NA,2023-05-27,GR,point,NA,807
2023-05-01,-7 wk ahead NA,2023-03-11,HR,point,NA,22
2023-05-01,-6 wk ahead NA,2023-03-18,HR,point,NA,22
2023-05-01,-5 wk ahead NA,2023-03-25,HR,point,NA,22
2023-05-01,-4 wk ahead NA,2023-04-01,HR,point,NA,22
2023-05-01,-3 wk ahead NA,2023-04-08,HR,point,NA,22
2023-05-01,-2 wk ahead NA,2023-04-15,HR,point,NA,22
2023-05-01,-1 wk ahead NA,2023-04-22,HR,point,NA,22
