weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,BIOCOMSC-Gompertz,inc case,2,Overall,0.69,NA,0.54,0.94,NA,265,31,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.49,0.91,0.14,310,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.73,0.83,0.42,0.85,0.04,310,32,NA
10,IEM_Health-CovidProject,inc case,2,Overall,0.72,0.81,0.25,0.59,0.07,304,32,NA
10,ILM-EKF,inc case,2,Overall,0.74,0.88,0.35,0.79,-0.09,309,32,NA
10,Karlen-pypm,inc case,2,Overall,6.15,3.55,0.3,0.78,0.36,27,18,NA
10,LANL-GrowthRate,inc case,2,Overall,0.65,0.73,0.47,0.81,-0.29,280,32,NA
10,MUNI-ARIMA,inc case,2,Overall,0.66,0.73,0.58,0.89,-0.07,310,32,NA
10,RobertWalraven-ESG,inc case,2,Overall,0.83,1.06,0.37,0.68,-0.21,310,32,NA
10,USC-SIkJalpha,inc case,2,Overall,0.91,1.17,0.22,0.24,-0.01,310,32,NA
10,UVA-Ensemble,inc case,2,Overall,1.31,NA,0.6,0.82,NA,310,32,NA
10,epiforecasts-EpiExpert,inc case,2,Overall,0.75,0.72,0.22,0.64,0.19,59,19,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.17,1.49,0.35,0.73,-0.13,309,32,NA
10,BIOCOMSC-Gompertz,inc case,1,Overall,0.77,NA,0.51,0.94,NA,267,32,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.41,0.95,0.09,311,32,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.76,0.74,0.45,0.9,-0,311,32,NA
10,IEM_Health-CovidProject,inc case,1,Overall,0.8,0.87,0.32,0.7,0.02,304,32,NA
10,ILM-EKF,inc case,1,Overall,1,1.1,0.4,0.84,-0.1,310,32,NA
10,Karlen-pypm,inc case,1,Overall,2.25,1.07,0.6,0.87,0.24,55,29,NA
10,LANL-GrowthRate,inc case,1,Overall,0.73,0.73,0.48,0.85,-0.35,280,32,NA
10,MUNI-ARIMA,inc case,1,Overall,0.81,0.94,0.55,0.87,-0.05,311,32,NA
10,RobertWalraven-ESG,inc case,1,Overall,1,1.14,0.4,0.74,-0.14,311,32,NA
10,SDSC_ISG-TrendModel,inc case,1,Overall,0.62,NA,NA,NA,NA,311,32,NA
10,USC-SIkJalpha,inc case,1,Overall,1.19,1.39,0.31,0.33,0.06,311,32,NA
10,UVA-Ensemble,inc case,1,Overall,1.6,NA,0.62,0.89,NA,311,32,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.13,1.2,0.41,0.78,-0.1,310,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.43,0.85,0.28,308,32,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,0.65,0.69,0.3,0.7,0.18,308,32,NA
10,IEM_Health-CovidProject,inc case,4,Overall,0.84,0.93,0.22,0.48,0.22,304,32,NA
10,ILM-EKF,inc case,4,Overall,0.62,0.68,0.38,0.79,-0,307,32,NA
10,LANL-GrowthRate,inc case,4,Overall,0.73,0.77,0.34,0.76,0.07,277,32,NA
10,MUNI-ARIMA,inc case,4,Overall,0.74,0.78,0.54,0.87,-0.11,247,32,NA
10,RobertWalraven-ESG,inc case,4,Overall,0.71,1.06,0.41,0.68,-0.19,308,32,NA
10,UMass-SemiMech,inc case,4,Overall,0.71,0.84,0.27,0.69,0.21,308,32,NA
10,USC-SIkJalpha,inc case,4,Overall,0.72,0.9,0.21,0.23,0.04,308,32,NA
10,UVA-Ensemble,inc case,4,Overall,1.18,NA,0.36,0.61,NA,308,32,NA
10,epiforecasts-EpiExpert,inc case,4,Overall,0.61,0.66,0.15,0.52,0.4,80,20,NA
10,epiforecasts-EpiExpert_direct,inc case,4,Overall,0.59,0.7,0.16,0.4,0.34,57,17,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,0.66,0.7,0.29,0.66,-0.2,307,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.48,0.86,0.21,309,32,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.64,0.64,0.34,0.79,0.09,309,32,NA
10,IEM_Health-CovidProject,inc case,3,Overall,0.78,0.87,0.22,0.52,0.15,304,32,NA
10,ILM-EKF,inc case,3,Overall,0.67,0.76,0.36,0.79,-0.06,309,32,NA
10,LANL-GrowthRate,inc case,3,Overall,0.68,0.72,0.4,0.76,-0.15,278,32,NA
10,MUNI-ARIMA,inc case,3,Overall,0.69,0.71,0.56,0.89,-0.1,279,32,NA
10,RobertWalraven-ESG,inc case,3,Overall,0.79,1.07,0.34,0.67,-0.21,309,32,NA
10,UMass-SemiMech,inc case,3,Overall,0.76,0.83,0.32,0.72,0.14,309,32,NA
10,USC-SIkJalpha,inc case,3,Overall,0.79,1,0.2,0.22,-0,309,32,NA
10,UVA-Ensemble,inc case,3,Overall,1.21,NA,0.49,0.75,NA,309,32,NA
10,epiforecasts-EpiExpert,inc case,3,Overall,0.67,0.7,0.16,0.57,0.28,67,19,NA
10,epiforecasts-EpiExpert_direct,inc case,3,Overall,0.66,0.74,0.11,0.43,0.19,53,16,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,0.71,0.73,0.31,0.7,-0.18,308,32,NA
10,BIOCOMSC-Gompertz,inc death,2,Overall,0.87,NA,0.49,0.88,NA,241,30,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.73,0.97,0.28,314,32,NA
10,EuroCOVIDhub-ensemble,inc death,2,Overall,0.36,0.36,0.67,0.95,0.23,314,32,NA
10,IEM_Health-CovidProject,inc death,2,Overall,0.69,0.63,0.48,0.85,0.27,307,32,NA
10,ILM-EKF,inc death,2,Overall,0.4,0.43,0.8,0.97,0.11,313,32,NA
10,Karlen-pypm,inc death,2,Overall,0.57,0.51,0.37,0.96,0.16,27,18,NA
10,LANL-GrowthRate,inc death,2,Overall,0.4,0.42,0.34,0.75,0.16,283,32,NA
10,MUNI-ARIMA,inc death,2,Overall,0.61,0.56,0.62,0.96,0.16,314,32,NA
10,RobertWalraven-ESG,inc death,2,Overall,0.46,0.47,0.74,0.94,0.01,314,32,NA
10,UMass-MechBayes,inc death,2,Overall,0.51,0.49,0.51,0.93,0.2,314,32,NA
10,USC-SIkJalpha,inc death,2,Overall,0.44,0.5,0.34,0.4,0.27,314,32,NA
10,USyd-OneModelMan,inc death,2,Overall,0.5,NA,NA,NA,NA,314,32,NA
10,epiforecasts-EpiExpert,inc death,2,Overall,0.56,0.47,0.32,0.77,0.24,57,16,NA
10,epiforecasts-EpiNow2,inc death,2,Overall,0.5,0.5,0.54,0.93,0.07,293,32,NA
10,BIOCOMSC-Gompertz,inc death,1,Overall,0.94,NA,0.43,0.87,NA,240,31,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.64,0.98,0.24,315,32,NA
10,EuroCOVIDhub-ensemble,inc death,1,Overall,0.55,0.49,0.68,0.96,0.16,315,32,NA
10,IEM_Health-CovidProject,inc death,1,Overall,0.74,0.62,0.56,0.86,0.16,307,32,NA
10,ILM-EKF,inc death,1,Overall,0.62,0.63,0.82,0.98,0.1,314,32,NA
10,Imperial-DeCa,inc death,1,Overall,0.91,1.04,0.17,0.41,-0.21,143,21,NA
10,Imperial-RtI0,inc death,1,Overall,0.94,0.96,0.3,0.67,-0.01,143,21,NA
10,Imperial-sbkp,inc death,1,Overall,0.81,0.86,0.27,0.62,-0.13,143,21,NA
10,Karlen-pypm,inc death,1,Overall,0.47,0.59,0.51,0.95,0.09,55,29,NA
10,LANL-GrowthRate,inc death,1,Overall,0.72,0.68,0.33,0.83,0.12,284,32,NA
10,MUNI-ARIMA,inc death,1,Overall,0.7,0.61,0.6,0.94,0.09,315,32,NA
10,RobertWalraven-ESG,inc death,1,Overall,0.62,0.58,0.72,0.95,-0.02,315,32,NA
10,SDSC_ISG-TrendModel,inc death,1,Overall,0.78,NA,NA,NA,NA,315,32,NA
10,UMass-MechBayes,inc death,1,Overall,0.77,0.68,0.52,0.89,0.18,315,32,NA
10,USC-SIkJalpha,inc death,1,Overall,0.77,0.8,0.33,0.38,0.28,315,32,NA
10,USyd-OneModelMan,inc death,1,Overall,0.71,NA,NA,NA,NA,315,32,NA
10,epiforecasts-EpiNow2,inc death,1,Overall,0.85,0.74,0.54,0.94,0.06,293,32,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.66,0.92,0.37,312,32,NA
10,EuroCOVIDhub-ensemble,inc death,4,Overall,0.33,0.32,0.57,0.88,0.36,312,32,NA
10,IEM_Health-CovidProject,inc death,4,Overall,0.81,0.77,0.34,0.76,0.48,307,32,NA
10,ILM-EKF,inc death,4,Overall,0.31,0.32,0.61,0.96,0.15,311,32,NA
10,LANL-GrowthRate,inc death,4,Overall,0.26,0.26,0.31,0.7,0.24,281,32,NA
10,MUNI-ARIMA,inc death,4,Overall,0.44,0.55,0.64,0.95,0.21,250,32,NA
10,RobertWalraven-ESG,inc death,4,Overall,0.41,0.43,0.75,0.9,0.1,312,32,NA
10,UMass-MechBayes,inc death,4,Overall,0.32,0.33,0.49,0.88,0.18,312,32,NA
10,UMass-SemiMech,inc death,4,Overall,0.39,0.42,0.44,0.85,0.34,312,32,NA
10,USC-SIkJalpha,inc death,4,Overall,0.32,0.38,0.29,0.39,0.31,312,32,NA
10,USyd-OneModelMan,inc death,4,Overall,0.48,NA,NA,NA,NA,312,32,NA
10,epiforecasts-EpiExpert,inc death,4,Overall,0.49,0.37,0.27,0.66,0.51,79,18,NA
10,epiforecasts-EpiNow2,inc death,4,Overall,0.39,0.38,0.48,0.9,0.05,291,32,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.68,0.93,0.33,313,32,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,0.3,0.31,0.63,0.92,0.28,313,32,NA
10,IEM_Health-CovidProject,inc death,3,Overall,0.72,0.67,0.42,0.83,0.37,307,32,NA
10,ILM-EKF,inc death,3,Overall,0.33,0.34,0.7,0.97,0.11,312,32,NA
10,LANL-GrowthRate,inc death,3,Overall,0.3,0.31,0.33,0.72,0.17,282,32,NA
10,MUNI-ARIMA,inc death,3,Overall,0.51,0.55,0.63,0.96,0.18,282,32,NA
10,RobertWalraven-ESG,inc death,3,Overall,0.41,0.42,0.74,0.92,0.06,313,32,NA
10,UMass-MechBayes,inc death,3,Overall,0.35,0.34,0.48,0.92,0.16,313,32,NA
10,UMass-SemiMech,inc death,3,Overall,0.37,0.41,0.5,0.89,0.26,313,32,NA
10,USC-SIkJalpha,inc death,3,Overall,0.37,0.43,0.3,0.38,0.28,313,32,NA
10,USyd-OneModelMan,inc death,3,Overall,0.41,NA,NA,NA,NA,313,32,NA
10,epiforecasts-EpiExpert,inc death,3,Overall,0.51,0.4,0.39,0.74,0.43,66,17,NA
10,epiforecasts-EpiNow2,inc death,3,Overall,0.4,0.4,0.51,0.91,0.06,292,32,NA
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.6,1,0.42,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,4,AT,0.5,0.54,0.3,0.8,0.3,10,1,Austria
10,IEM_Health-CovidProject,inc case,4,AT,0.75,0.89,0.2,0.3,0.46,10,1,Austria
10,ILM-EKF,inc case,4,AT,0.39,0.44,0.5,0.8,0.03,10,1,Austria
10,LANL-GrowthRate,inc case,4,AT,0.56,0.6,0.33,0.56,0.33,9,1,Austria
10,MUNI-ARIMA,inc case,4,AT,0.22,0.6,0.75,1,-0.09,8,1,Austria
10,RobertWalraven-ESG,inc case,4,AT,0.29,0.52,0.6,0.9,-0.23,10,1,Austria
10,UMass-SemiMech,inc case,4,AT,0.59,0.67,0.2,0.6,0.41,10,1,Austria
10,USC-SIkJalpha,inc case,4,AT,0.49,0.71,0.3,0.3,0.34,10,1,Austria
10,UVA-Ensemble,inc case,4,AT,0.91,NA,0.4,0.7,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,4,AT,0.42,0.48,0.2,0.6,-0.12,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.7,1,0.35,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,3,AT,0.47,0.53,0.3,0.8,0.16,10,1,Austria
10,IEM_Health-CovidProject,inc case,3,AT,0.68,0.83,0.1,0.4,0.33,10,1,Austria
10,ILM-EKF,inc case,3,AT,0.42,0.5,0.4,0.8,-0.04,10,1,Austria
10,LANL-GrowthRate,inc case,3,AT,0.44,0.53,0.44,0.67,-0.01,9,1,Austria
10,MUNI-ARIMA,inc case,3,AT,0.26,0.53,0.78,1,-0.13,9,1,Austria
10,RobertWalraven-ESG,inc case,3,AT,0.37,0.56,0.6,0.8,-0.18,10,1,Austria
10,UMass-SemiMech,inc case,3,AT,0.63,0.66,0.1,0.7,0.3,10,1,Austria
10,USC-SIkJalpha,inc case,3,AT,0.52,0.76,0,0,0.4,10,1,Austria
10,UVA-Ensemble,inc case,3,AT,0.94,NA,0.6,0.9,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,3,AT,0.4,0.47,0.2,0.5,-0.25,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.6,1,0.24,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,0.33,0.38,0.7,0.9,0.1,10,1,Austria
10,IEM_Health-CovidProject,inc case,2,AT,0.65,0.78,0.1,0.6,0.22,10,1,Austria
10,ILM-EKF,inc case,2,AT,0.44,0.57,0.6,0.8,-0.14,10,1,Austria
10,LANL-GrowthRate,inc case,2,AT,0.32,0.37,0.67,0.78,-0.33,9,1,Austria
10,MUNI-ARIMA,inc case,2,AT,0.29,0.4,0.8,1,-0.12,10,1,Austria
10,RobertWalraven-ESG,inc case,2,AT,0.5,0.61,0.7,0.8,-0.13,10,1,Austria
10,USC-SIkJalpha,inc case,2,AT,0.53,0.79,0.1,0.1,0.34,10,1,Austria
10,UVA-Ensemble,inc case,2,AT,1.5,NA,0.6,1,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,2,AT,0.49,0.56,0.3,0.8,-0.16,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.6,1,0.21,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.45,0.41,0.5,1,0.11,10,1,Austria
10,IEM_Health-CovidProject,inc case,1,AT,0.56,0.62,0.4,0.7,0.21,10,1,Austria
10,ILM-EKF,inc case,1,AT,0.63,0.73,0.6,0.8,-0.22,10,1,Austria
10,LANL-GrowthRate,inc case,1,AT,0.55,0.47,0.33,0.89,-0.38,9,1,Austria
10,MUNI-ARIMA,inc case,1,AT,0.45,0.43,0.5,1,0.02,10,1,Austria
10,RobertWalraven-ESG,inc case,1,AT,0.81,0.78,0.6,0.9,-0.02,10,1,Austria
10,SDSC_ISG-TrendModel,inc case,1,AT,0.44,NA,NA,NA,NA,10,1,Austria
10,USC-SIkJalpha,inc case,1,AT,0.71,0.84,0.1,0.2,0.51,10,1,Austria
