weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,BIOCOMSC-Gompertz,inc case,1,Overall,0.44,NA,0.75,1,NA,130,29,NA
10,DSMPG-bayes,inc case,1,Overall,0.91,0.71,0.5,0.92,0.27,205,25,NA
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.2,0.93,0.35,316,32,NA
10,EuroCOVIDhub-ensemble,inc case,1,Overall,0.74,0.65,0.64,0.96,0.21,316,32,NA
10,IEM_Health-CovidProject,inc case,1,Overall,1.19,1.02,0.41,0.89,0.37,316,32,NA
10,ILM-EKF,inc case,1,Overall,0.96,0.77,0.48,0.93,0.21,315,32,NA
10,LANL-GrowthRate,inc case,1,Overall,0.9,0.82,0.68,0.95,-0.21,316,32,NA
10,MUNI-ARIMA,inc case,1,Overall,0.42,0.67,0.54,0.88,0.27,124,32,NA
10,RobertWalraven-ESG,inc case,1,Overall,0.9,0.86,0.34,0.72,0.24,316,32,NA
10,SDSC_ISG-TrendModel,inc case,1,Overall,0.8,NA,NA,NA,NA,284,32,NA
10,UMass-SemiMech,inc case,1,Overall,1.04,1.16,0.54,0.93,0.19,280,32,NA
10,USC-SIkJalpha,inc case,1,Overall,0.95,1,0.47,0.57,0.27,316,32,NA
10,UVA-Ensemble,inc case,1,Overall,1.75,NA,0.35,0.67,NA,316,32,NA
10,epiforecasts-EpiExpert,inc case,1,Overall,0.85,0.79,0.32,0.76,0.37,117,28,NA
10,epiforecasts-EpiExpert_direct,inc case,1,Overall,0.59,0.81,0.29,0.66,0.46,38,17,NA
10,epiforecasts-EpiNow2,inc case,1,Overall,1.02,0.87,0.54,0.89,0.12,314,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.28,0.8,0.26,316,32,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,0.91,0.82,0.41,0.87,0.31,316,32,NA
10,IEM_Health-CovidProject,inc case,3,Overall,1.39,1.29,0.31,0.72,0.38,316,32,NA
10,ILM-EKF,inc case,3,Overall,1.23,1.11,0.44,0.88,0.24,316,32,NA
10,LANL-GrowthRate,inc case,3,Overall,0.72,0.66,0.53,0.89,0.06,316,32,NA
10,RobertWalraven-ESG,inc case,3,Overall,0.88,NA,0.32,0.63,NA,316,32,NA
10,UMass-SemiMech,inc case,3,Overall,0.88,0.95,0.47,0.87,0.27,217,32,NA
10,USC-SIkJalpha,inc case,3,Overall,0.85,0.9,0.36,0.51,0.18,316,32,NA
10,UVA-Ensemble,inc case,3,Overall,1.3,NA,0.2,0.42,NA,256,32,NA
10,epiforecasts-EpiExpert,inc case,3,Overall,0.87,0.87,0.26,0.71,0.29,164,32,NA
10,epiforecasts-EpiExpert_Rt,inc case,3,Overall,0.56,0.66,0.3,0.78,0.43,54,19,NA
10,epiforecasts-EpiNow2,inc case,3,Overall,1,0.96,0.43,0.85,0.17,315,32,NA
10,BIOCOMSC-Gompertz,inc case,2,Overall,0.36,NA,0.78,1,NA,103,29,NA
10,DSMPG-bayes,inc case,2,Overall,0.99,0.85,0.5,0.95,0.22,209,25,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.27,0.85,0.29,317,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,0.79,0.7,0.5,0.91,0.27,317,32,NA
10,IEM_Health-CovidProject,inc case,2,Overall,1.18,1.13,0.32,0.77,0.4,317,32,NA
10,ILM-EKF,inc case,2,Overall,1.02,0.86,0.44,0.92,0.23,317,32,NA
10,LANL-GrowthRate,inc case,2,Overall,0.71,0.68,0.61,0.94,-0.06,317,32,NA
10,RobertWalraven-ESG,inc case,2,Overall,0.84,0.88,0.35,0.67,0.19,317,32,NA
10,UMass-SemiMech,inc case,2,Overall,0.88,0.95,0.47,0.9,0.25,249,32,NA
10,USC-SIkJalpha,inc case,2,Overall,0.84,0.93,0.41,0.54,0.24,317,32,NA
10,UVA-Ensemble,inc case,2,Overall,1.51,NA,0.29,0.53,NA,317,32,NA
10,epiforecasts-EpiExpert,inc case,2,Overall,0.9,0.82,0.28,0.72,0.34,137,32,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,0.93,0.85,0.46,0.87,0.15,316,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.29,0.77,0.3,284,32,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.1,1.05,0.38,0.84,0.36,284,32,NA
10,IEM_Health-CovidProject,inc case,4,Overall,1.71,1.65,0.3,0.69,0.4,284,32,NA
10,ILM-EKF,inc case,4,Overall,1.6,1.53,0.43,0.87,0.29,284,32,NA
10,LANL-GrowthRate,inc case,4,Overall,0.78,0.73,0.43,0.86,0.18,284,32,NA
10,RobertWalraven-ESG,inc case,4,Overall,0.84,NA,0.33,0.65,NA,284,32,NA
10,UMass-SemiMech,inc case,4,Overall,0.99,1.18,0.39,0.85,0.29,185,32,NA
10,USC-SIkJalpha,inc case,4,Overall,0.85,0.92,0.34,0.5,0.2,284,32,NA
10,epiforecasts-EpiExpert,inc case,4,Overall,0.91,0.9,0.26,0.68,0.36,148,32,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,1.15,1.09,0.4,0.84,0.17,283,32,NA
10,LANL-GrowthRate,inc case,5,Overall,NA,NA,0.38,0.83,0.28,252,32,NA
10,USC-SIkJalpha,inc case,5,Overall,NA,NA,0.31,0.51,0.22,252,32,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.5,0.85,0.18,318,32,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,0.5,0.44,0.6,0.96,0.3,318,32,NA
10,IEM_Health-CovidProject,inc death,3,Overall,1.13,0.99,0.46,0.89,0.19,318,32,NA
10,ILM-EKF,inc death,3,Overall,0.84,0.69,0.69,0.98,0.28,318,32,NA
10,LANL-GrowthRate,inc death,3,Overall,0.59,0.48,0.38,0.85,0.05,318,32,NA
10,RobertWalraven-ESG,inc death,3,Overall,0.81,0.82,0.45,0.72,-0.09,318,32,NA
10,UMass-MechBayes,inc death,3,Overall,0.52,0.51,0.56,0.97,0.23,218,32,NA
10,UMass-SemiMech,inc death,3,Overall,0.64,0.64,0.48,0.91,0.37,218,32,NA
