"forecast_date","epidemic_week","forecast_1_wk_ahead_start","forecast_1_wk_ahead_end"
2021-02-01,"2021-ew5",2021-01-31,2021-02-06
2021-02-08,"2021-ew6",2021-02-07,2021-02-13
2021-02-15,"2021-ew7",2021-02-14,2021-02-20
2021-02-22,"2021-ew8",2021-02-21,2021-02-27
2021-03-01,"2021-ew9",2021-02-28,2021-03-06
2021-03-08,"2021-ew10",2021-03-07,2021-03-13
2021-03-15,"2021-ew11",2021-03-14,2021-03-20
2021-03-22,"2021-ew12",2021-03-21,2021-03-27
2021-03-29,"2021-ew13",2021-03-28,2021-04-03
2021-04-05,"2021-ew14",2021-04-04,2021-04-10
2021-04-12,"2021-ew15",2021-04-11,2021-04-17
2021-04-19,"2021-ew16",2021-04-18,2021-04-24
2021-04-26,"2021-ew17",2021-04-25,2021-05-01
2021-05-03,"2021-ew18",2021-05-02,2021-05-08
2021-05-10,"2021-ew19",2021-05-09,2021-05-15
2021-05-17,"2021-ew20",2021-05-16,2021-05-22
2021-05-24,"2021-ew21",2021-05-23,2021-05-29
2021-05-31,"2021-ew22",2021-05-30,2021-06-05
2021-06-07,"2021-ew23",2021-06-06,2021-06-12
2021-06-14,"2021-ew24",2021-06-13,2021-06-19
2021-06-21,"2021-ew25",2021-06-20,2021-06-26
2021-06-28,"2021-ew26",2021-06-27,2021-07-03
2021-07-05,"2021-ew27",2021-07-04,2021-07-10
2021-07-12,"2021-ew28",2021-07-11,2021-07-17
2021-07-19,"2021-ew29",2021-07-18,2021-07-24
2021-07-26,"2021-ew30",2021-07-25,2021-07-31
2021-08-02,"2021-ew31",2021-08-01,2021-08-07
2021-08-09,"2021-ew32",2021-08-08,2021-08-14
2021-08-16,"2021-ew33",2021-08-15,2021-08-21
2021-08-23,"2021-ew34",2021-08-22,2021-08-28
2021-08-30,"2021-ew35",2021-08-29,2021-09-04
2021-09-06,"2021-ew36",2021-09-05,2021-09-11
2021-09-13,"2021-ew37",2021-09-12,2021-09-18
2021-09-20,"2021-ew38",2021-09-19,2021-09-25
2021-09-27,"2021-ew39",2021-09-26,2021-10-02
2021-10-04,"2021-ew40",2021-10-03,2021-10-09
2021-10-11,"2021-ew41",2021-10-10,2021-10-16
2021-10-18,"2021-ew42",2021-10-17,2021-10-23
2021-10-25,"2021-ew43",2021-10-24,2021-10-30
2021-11-01,"2021-ew44",2021-10-31,2021-11-06
2021-11-08,"2021-ew45",2021-11-07,2021-11-13
2021-11-15,"2021-ew46",2021-11-14,2021-11-20
2021-11-22,"2021-ew47",2021-11-21,2021-11-27
2021-11-29,"2021-ew48",2021-11-28,2021-12-04
2021-12-06,"2021-ew49",2021-12-05,2021-12-11
2021-12-13,"2021-ew50",2021-12-12,2021-12-18
2021-12-20,"2021-ew51",2021-12-19,2021-12-25
2021-12-27,"2021-ew52",2021-12-26,2022-01-01
