forecast_date,target,target_end_date,location,type,quantile,value
2023-04-15,1 wk ahead inc case,2023-04-22,BE,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,BG,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,CZ,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,DK,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,DE,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,EE,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,IE,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,GR,quantile,0.010,6
2023-04-15,1 wk ahead inc case,2023-04-22,ES,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,FR,quantile,0.010,3
2023-04-15,1 wk ahead inc case,2023-04-22,HR,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,IT,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,CY,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,LV,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,LT,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,LU,quantile,0.010,51
2023-04-15,1 wk ahead inc case,2023-04-22,HU,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,MT,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,NL,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,AT,quantile,0.010,492
2023-04-15,1 wk ahead inc case,2023-04-22,PL,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,PT,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,RO,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,SI,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,SK,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,FI,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,SE,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,GB,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,IS,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,LI,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,NO,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,CH,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,BE,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,BG,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,CZ,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,DK,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,DE,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,EE,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,IE,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,GR,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,ES,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,FR,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,HR,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,IT,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,CY,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,LV,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,LT,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,LU,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,HU,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,MT,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,NL,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,AT,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,PL,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,PT,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,RO,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,SI,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,SK,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,FI,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,SE,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,GB,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,IS,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,LI,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,NO,quantile,0.010,0
2023-04-15,2 wk ahead inc case,2023-04-29,CH,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,BE,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,BG,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,CZ,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,DK,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,DE,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,EE,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,IE,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,GR,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,ES,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,FR,quantile,0.010,4
2023-04-15,3 wk ahead inc case,2023-05-06,HR,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,IT,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,CY,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,LV,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,LT,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,LU,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,HU,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,MT,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,NL,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,AT,quantile,0.010,1
2023-04-15,3 wk ahead inc case,2023-05-06,PL,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,PT,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,RO,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,SI,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,SK,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,FI,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,SE,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,GB,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,IS,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,LI,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,NO,quantile,0.010,0
2023-04-15,3 wk ahead inc case,2023-05-06,CH,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,BE,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,BG,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,CZ,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,DK,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,DE,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,EE,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,IE,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,GR,quantile,0.010,21
2023-04-15,4 wk ahead inc case,2023-05-13,ES,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,FR,quantile,0.010,194
2023-04-15,4 wk ahead inc case,2023-05-13,HR,quantile,0.010,2
2023-04-15,4 wk ahead inc case,2023-05-13,IT,quantile,0.010,4
2023-04-15,4 wk ahead inc case,2023-05-13,CY,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,LV,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,LT,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,LU,quantile,0.010,1
2023-04-15,4 wk ahead inc case,2023-05-13,HU,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,MT,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,NL,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,AT,quantile,0.010,51
2023-04-15,4 wk ahead inc case,2023-05-13,PL,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,PT,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,RO,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,SI,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,SK,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,FI,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,SE,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,GB,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,IS,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,LI,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,NO,quantile,0.010,0
2023-04-15,4 wk ahead inc case,2023-05-13,CH,quantile,0.010,0
2023-04-15,1 wk ahead inc case,2023-04-22,BE,quantile,0.025,1
2023-04-15,1 wk ahead inc case,2023-04-22,BG,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,CZ,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,DK,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,DE,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,EE,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,IE,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,GR,quantile,0.025,948
2023-04-15,1 wk ahead inc case,2023-04-22,ES,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,FR,quantile,0.025,4917
2023-04-15,1 wk ahead inc case,2023-04-22,HR,quantile,0.025,191
2023-04-15,1 wk ahead inc case,2023-04-22,IT,quantile,0.025,921
2023-04-15,1 wk ahead inc case,2023-04-22,CY,quantile,0.025,101
2023-04-15,1 wk ahead inc case,2023-04-22,LV,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,LT,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,LU,quantile,0.025,79
2023-04-15,1 wk ahead inc case,2023-04-22,HU,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,MT,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,NL,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,AT,quantile,0.025,1371
2023-04-15,1 wk ahead inc case,2023-04-22,PL,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,PT,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,RO,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,SI,quantile,0.025,131
2023-04-15,1 wk ahead inc case,2023-04-22,SK,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,FI,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,SE,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,GB,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,IS,quantile,0.025,0
2023-04-15,1 wk ahead inc case,2023-04-22,LI,quantile,0.025,0
