location_name,location,target_variable,source,cutoff_weeks
Austria,AT,inc case,ECDC,1
Austria,AT,inc death,ECDC,2
Belgium,BE,inc case,ECDC,1
Belgium,BE,inc death,ECDC,1
Cyprus,CY,inc case,ECDC,1
Cyprus,CY,inc death,ECDC,1
Czechia,CZ,inc death,ECDC,1
Germany,DE,inc case,ECDC,1
Germany,DE,inc death,ECDC,4
Denmark,DK,inc case,ECDC,3
Denmark,DK,inc death,ECDC,4
Spain,ES,inc case,ECDC,2
Spain,ES,inc death,ECDC,2
Finland,FI,inc case,ECDC,1
Finland,FI,inc death,ECDC,3
Greece,GR,inc death,ECDC,1
Croatia,HR,inc case,ECDC,4
Croatia,HR,inc death,ECDC,4
Hungary,HU,inc death,ECDC,2
Ireland,IE,inc death,ECDC,4
Iceland,IS,inc case,ECDC,1
Italy,IT,inc case,ECDC,4
Italy,IT,inc death,ECDC,4
Liechtenstein,LI,inc death,ECDC,1
Luxembourg,LU,inc case,ECDC,1
Luxembourg,LU,inc death,ECDC,1
Netherlands,NL,inc case,ECDC,2
Norway,NO,inc case,ECDC,1
Portugal,PT,inc case,ECDC,1
Portugal,PT,inc death,ECDC,1
Sweden,SE,inc death,ECDC,2
Slovenia,SI,inc death,ECDC,2
Slovakia,SK,inc case,ECDC,2
Slovakia,SK,inc death,ECDC,3
