location_name,location,target_variable,source,cutoff_weeks
Austria,AT,inc case,ECDC,1
Austria,AT,inc death,ECDC,2
Belgium,BE,inc case,ECDC,2
Belgium,BE,inc death,ECDC,2
Cyprus,CY,inc case,ECDC,3
Czechia,CZ,inc death,ECDC,3
Germany,DE,inc case,ECDC,1
Germany,DE,inc death,ECDC,3
Denmark,DK,inc case,ECDC,3
Denmark,DK,inc death,ECDC,4
Estonia,EE,inc death,ECDC,1
Estonia,EE,inc case,ECDC,2
Spain,ES,inc case,ECDC,2
Spain,ES,inc death,ECDC,2
Finland,FI,inc case,ECDC,4
Finland,FI,inc death,ECDC,4
France,FR,inc case,ECDC,1
France,FR,inc death,ECDC,1
Greece,GR,inc death,ECDC,1
Croatia,HR,inc case,ECDC,2
Croatia,HR,inc death,ECDC,2
Hungary,HU,inc case,ECDC,1
Hungary,HU,inc death,ECDC,4
Ireland,IE,inc case,ECDC,1
Ireland,IE,inc death,ECDC,4
Iceland,IS,inc case,ECDC,1
Italy,IT,inc case,ECDC,4
Italy,IT,inc death,ECDC,4
Lithuania,LT,inc case,ECDC,1
Lithuania,LT,inc death,ECDC,1
Luxembourg,LU,inc case,ECDC,2
Latvia,LV,inc case,ECDC,2
Latvia,LV,inc death,ECDC,2
Netherlands,NL,inc case,ECDC,2
Norway,NO,inc case,ECDC,1
Poland,PL,inc death,ECDC,2
Portugal,PT,inc case,ECDC,1
Portugal,PT,inc death,ECDC,1
Sweden,SE,inc case,ECDC,3
Sweden,SE,inc death,ECDC,4
Slovenia,SI,inc death,ECDC,2
Slovakia,SK,inc death,ECDC,1
Slovakia,SK,inc case,ECDC,2
