location,type,quantile,target_end_date,target,scenario_id,value,forecast_date
GB,quantile,0.01,2021-07-31,1 wk ahead inc case,forecast,165440,2021-07-26
GB,quantile,0.025,2021-07-31,1 wk ahead inc case,forecast,177264,2021-07-26
GB,quantile,0.05,2021-07-31,1 wk ahead inc case,forecast,192753,2021-07-26
GB,quantile,0.1,2021-07-31,1 wk ahead inc case,forecast,212189,2021-07-26
GB,quantile,0.15,2021-07-31,1 wk ahead inc case,forecast,223344,2021-07-26
GB,quantile,0.2,2021-07-31,1 wk ahead inc case,forecast,235156,2021-07-26
GB,quantile,0.25,2021-07-31,1 wk ahead inc case,forecast,243223,2021-07-26
GB,quantile,0.3,2021-07-31,1 wk ahead inc case,forecast,249819,2021-07-26
GB,quantile,0.35,2021-07-31,1 wk ahead inc case,forecast,256304,2021-07-26
GB,quantile,0.4,2021-07-31,1 wk ahead inc case,forecast,261027,2021-07-26
GB,quantile,0.45,2021-07-31,1 wk ahead inc case,forecast,268599,2021-07-26
GB,quantile,0.5,2021-07-31,1 wk ahead inc case,forecast,272859,2021-07-26
GB,quantile,0.55,2021-07-31,1 wk ahead inc case,forecast,279080,2021-07-26
GB,quantile,0.6,2021-07-31,1 wk ahead inc case,forecast,284840,2021-07-26
GB,quantile,0.65,2021-07-31,1 wk ahead inc case,forecast,290862,2021-07-26
GB,quantile,0.7,2021-07-31,1 wk ahead inc case,forecast,297832,2021-07-26
GB,quantile,0.75,2021-07-31,1 wk ahead inc case,forecast,306543,2021-07-26
GB,quantile,0.8,2021-07-31,1 wk ahead inc case,forecast,316571,2021-07-26
GB,quantile,0.85,2021-07-31,1 wk ahead inc case,forecast,329901,2021-07-26
GB,quantile,0.9,2021-07-31,1 wk ahead inc case,forecast,350723,2021-07-26
GB,quantile,0.95,2021-07-31,1 wk ahead inc case,forecast,386419,2021-07-26
GB,quantile,0.975,2021-07-31,1 wk ahead inc case,forecast,420358,2021-07-26
GB,quantile,0.99,2021-07-31,1 wk ahead inc case,forecast,457517,2021-07-26
GB,quantile,0.01,2021-08-07,2 wk ahead inc case,forecast,165390,2021-07-26
GB,quantile,0.025,2021-08-07,2 wk ahead inc case,forecast,176876,2021-07-26
GB,quantile,0.05,2021-08-07,2 wk ahead inc case,forecast,188610,2021-07-26
GB,quantile,0.1,2021-08-07,2 wk ahead inc case,forecast,206918,2021-07-26
GB,quantile,0.15,2021-08-07,2 wk ahead inc case,forecast,217636,2021-07-26
GB,quantile,0.2,2021-08-07,2 wk ahead inc case,forecast,225408,2021-07-26
